id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13
ARG,2020-05-01,Argentina,21,0,2.2,32,0,3.3,124,0,12.8,117,0,12.1,302,0,31.2,63,0,6.5,38,0,3.9,15,0,1.5,45,0,4.6,115,0,11.9,6,0,0.6,83,0,8.6,8,0,0.8
ARG,2020-05-02,Argentina,54,157.1,3.2,84,162.5,5.0,219,76.6,13.1,207,76.9,12.3,547,81.1,32.6,126,100.0,7.5,125,228.9,7.5,20,33.3,1.2,55,22.2,3.3,78,-32.2,4.7,13,116.7,0.8,133,60.2,7.9,16,100.0,1.0
ARG,2020-05-03,Argentina,43,-20.4,2.4,84,0.0,4.6,223,1.8,12.3,271,30.9,14.9,483,-11.7,26.5,196,55.6,10.8,84,-32.8,4.6,25,25.0,1.4,70,27.3,3.8,112,43.6,6.2,15,15.4,0.8,177,33.1,9.7,37,131.2,2.0
ARG,2020-05-04,Argentina,45,4.7,3.0,80,-4.8,5.3,223,0.0,14.9,222,-18.1,14.8,450,-6.8,30.0,145,-26.0,9.7,64,-23.8,4.3,20,-20.0,1.3,61,-12.9,4.1,64,-42.9,4.3,14,-6.7,0.9,95,-46.3,6.3,18,-51.4,1.2
ARG,2020-05-05,Argentina,31,-31.1,2.2,78,-2.5,5.5,187,-16.1,13.3,237,6.8,16.8,415,-7.8,29.5,136,-6.2,9.7,60,-6.2,4.3,12,-40.0,0.9,44,-27.9,3.1,62,-3.1,4.4,16,14.3,1.1,120,26.3,8.5,10,-44.4,0.7
ARG,2020-05-06,Argentina,40,29.0,2.6,89,14.1,5.8,193,3.2,12.6,312,31.6,20.4,427,2.9,27.9,165,21.3,10.8,61,1.7,4.0,23,91.7,1.5,44,0.0,2.9,50,-19.4,3.3,9,-43.8,0.6,109,-9.2,7.1,9,-10.0,0.6
ARG,2020-05-07,Argentina,49,22.5,3.0,58,-34.8,3.6,178,-7.8,11.0,252,-19.2,15.6,617,44.5,38.3,122,-26.1,7.6,62,1.6,3.8,36,56.5,2.2,47,6.8,2.9,49,-2.0,3.0,20,122.2,1.2,103,-5.5,6.4,20,122.2,1.2
ARG,2020-05-08,Argentina,42,-14.3,2.7,76,31.0,5.0,184,3.4,12.0,226,-10.3,14.8,488,-20.9,31.9,145,18.9,9.5,66,6.5,4.3,45,25.0,2.9,58,23.4,3.8,42,-14.3,2.7,12,-40.0,0.8,136,32.0,8.9,9,-55.0,0.6
ARG,2020-05-09,Argentina,43,2.4,2.8,78,2.6,5.0,261,41.8,16.9,265,17.3,17.1,422,-13.5,27.3,174,20.0,11.2,41,-37.9,2.6,24,-46.7,1.6,57,-1.7,3.7,27,-35.7,1.7,9,-25.0,0.6,135,-0.7,8.7,12,33.3,0.8
ARG,2020-05-10,Argentina,29,-32.6,3.0,51,-34.6,5.3,134,-48.7,13.8,141,-46.8,14.6,314,-25.6,32.4,72,-58.6,7.4,32,-22.0,3.3,11,-54.2,1.1,45,-21.1,4.6,23,-14.8,2.4,9,0.0,0.9,97,-28.1,10.0,10,-16.7,1.0
ARG,2020-05-11,Argentina,70,141.4,3.6,75,47.1,3.9,301,124.6,15.6,319,126.2,16.5,497,58.3,25.7,212,194.4,11.0,85,165.6,4.4,35,218.2,1.8,76,68.9,3.9,46,100.0,2.4,21,133.3,1.1,175,80.4,9.1,19,90.0,1.0
ARG,2020-05-12,Argentina,49,-30.0,3.4,68,-9.3,4.8,152,-49.5,10.6,262,-17.9,18.3,431,-13.3,30.2,114,-46.2,8.0,59,-30.6,4.1,45,28.6,3.1,54,-28.9,3.8,43,-6.5,3.0,14,-33.3,1.0,122,-30.3,8.5,16,-15.8,1.1
ARG,2020-05-13,Argentina,64,30.6,4.3,50,-26.5,3.3,169,11.2,11.3,238,-9.2,15.9,501,16.2,33.4,141,23.7,9.4,54,-8.5,3.6,36,-20.0,2.4,67,24.1,4.5,33,-23.3,2.2,7,-50.0,0.5,125,2.5,8.3,14,-12.5,0.9
ARG,2020-05-14,Argentina,51,-20.3,3.6,53,6.0,3.7,173,2.4,12.2,247,3.8,17.4,449,-10.4,31.6,134,-5.0,9.4,52,-3.7,3.7,27,-25.0,1.9,67,0.0,4.7,41,24.2,2.9,12,71.4,0.8,112,-10.4,7.9,2,-85.7,0.1
ARG,2020-05-15,Argentina,35,-31.4,2.6,60,13.2,4.4,141,-18.5,10.4,195,-21.1,14.3,508,13.1,37.3,146,9.0,10.7,55,5.8,4.0,24,-11.1,1.8,42,-37.3,3.1,28,-31.7,2.1,11,-8.3,0.8,109,-2.7,8.0,7,250.0,0.5
ARG,2020-05-16,Argentina,38,8.6,3.7,50,-16.7,4.8,123,-12.8,11.9,146,-25.1,14.1,312,-38.6,30.1,97,-33.6,9.4,36,-34.5,3.5,16,-33.3,1.5,48,14.3,4.6,29,3.6,2.8,5,-54.5,0.5,129,18.3,12.5,6,-14.3,0.6
ARG,2020-05-17,Argentina,11,-71.1,3.2,18,-64.0,5.2,44,-64.2,12.6,48,-67.1,13.8,104,-66.7,29.9,34,-64.9,9.8,14,-61.1,4.0,5,-68.8,1.4,14,-70.8,4.0,10,-65.5,2.9,5,0.0,1.4,38,-70.5,10.9,3,-50.0,0.9
ARG,2020-05-18,Argentina,46,318.2,3.0,69,283.3,4.5,167,279.5,10.9,316,558.3,20.6,430,313.5,28.0,153,350.0,10.0,61,335.7,4.0,23,360.0,1.5,47,235.7,3.1,32,220.0,2.1,11,120.0,0.7,162,326.3,10.5,19,533.3,1.2
ARG,2020-05-19,Argentina,56,21.7,3.0,105,52.2,5.6,236,41.3,12.7,296,-6.3,15.9,568,32.1,30.5,186,21.6,10.0,86,41.0,4.6,19,-17.4,1.0,85,80.9,4.6,41,28.1,2.2,19,72.7,1.0,150,-7.4,8.1,13,-31.6,0.7
ARG,2020-05-20,Argentina,119,112.5,8.0,59,-43.8,4.0,228,-3.4,15.4,219,-26.0,14.8,374,-34.2,25.2,189,1.6,12.8,57,-33.7,3.8,22,15.8,1.5,61,-28.2,4.1,30,-26.8,2.0,12,-36.8,0.8,101,-32.7,6.8,11,-15.4,0.7
ARG,2020-05-21,Argentina,238,100.0,8.1,147,149.2,5.0,546,139.5,18.6,388,77.2,13.2,715,91.2,24.4,303,60.3,10.3,95,66.7,3.2,48,118.2,1.6,146,139.3,5.0,44,46.7,1.5,26,116.7,0.9,218,115.8,7.4,16,45.5,0.5
ARG,2020-05-22,Argentina,267,12.2,8.6,151,2.7,4.9,540,-1.1,17.5,379,-2.3,12.3,800,11.9,25.9,328,8.3,10.6,122,28.4,3.9,60,25.0,1.9,113,-22.6,3.7,63,43.2,2.0,27,3.8,0.9,220,0.9,7.1,21,31.2,0.7
ARG,2020-05-23,Argentina,190,-28.8,7.7,145,-4.0,5.8,434,-19.6,17.5,288,-24.0,11.6,596,-25.5,24.0,319,-2.7,12.8,85,-30.3,3.4,38,-36.7,1.5,118,4.4,4.8,37,-41.3,1.5,25,-7.4,1.0,180,-18.2,7.2,28,33.3,1.1
ARG,2020-05-24,Argentina,250,31.6,6.7,272,87.6,7.2,768,77.0,20.4,377,30.9,10.0,740,24.2,19.7,451,41.4,12.0,67,-21.2,1.8,44,15.8,1.2,470,298.3,12.5,65,75.7,1.7,18,-28.0,0.5,202,12.2,5.4,35,25.0,0.9
ARG,2020-05-25,Argentina,369,47.6,11.7,159,-41.5,5.1,597,-22.3,19.0,313,-17.0,9.9,687,-7.2,21.8,343,-23.9,10.9,61,-9.0,1.9,42,-4.5,1.3,204,-56.6,6.5,53,-18.5,1.7,17,-5.6,0.5,264,30.7,8.4,37,5.7,1.2
ARG,2020-05-26,Argentina,394,6.8,7.7,330,107.5,6.5,1716,187.4,33.7,494,57.8,9.7,948,38.0,18.6,398,16.0,7.8,119,95.1,2.3,100,138.1,2.0,189,-7.4,3.7,84,58.5,1.7,24,41.2,0.5,226,-14.4,4.4,66,78.4,1.3
ARG,2020-05-27,Argentina,283,-28.2,8.8,162,-50.9,5.1,635,-63.0,19.8,379,-23.3,11.8,725,-23.5,22.7,348,-12.6,10.9,107,-10.1,3.3,49,-51.0,1.5,117,-38.1,3.7,72,-14.3,2.3,29,20.8,0.9,256,13.3,8.0,37,-43.9,1.2
ARG,2020-05-28,Argentina,243,-14.1,9.7,154,-4.9,6.1,421,-33.7,16.8,316,-16.6,12.6,550,-24.1,21.9,325,-6.6,13.0,95,-11.2,3.8,35,-28.6,1.4,106,-9.4,4.2,37,-48.6,1.5,17,-41.4,0.7,188,-26.6,7.5,20,-45.9,0.8
ARG,2020-05-29,Argentina,243,0.0,9.6,135,-12.3,5.3,441,4.8,17.4,275,-13.0,10.8,565,2.7,22.3,357,9.8,14.1,81,-14.7,3.2,44,25.7,1.7,107,0.9,4.2,30,-18.9,1.2,35,105.9,1.4,198,5.3,7.8,24,20.0,0.9
ARG,2020-05-30,Argentina,216,-11.1,8.4,104,-23.0,4.0,404,-8.4,15.7,247,-10.2,9.6,810,43.4,31.5,316,-11.5,12.3,44,-45.7,1.7,26,-40.9,1.0,123,15.0,4.8,41,36.7,1.6,27,-22.9,1.1,173,-12.6,6.7,37,54.2,1.4
ARG,2020-05-31,Argentina,198,-8.3,7.3,103,-1.0,3.8,370,-8.4,13.6,270,9.3,9.9,842,4.0,31.0,433,37.0,16.0,137,211.4,5.0,20,-23.1,0.7,92,-25.2,3.4,29,-29.3,1.1,26,-3.7,1.0,155,-10.4,5.7,39,5.4,1.4
BHS,2020-05-01,Bahamas,4,0,3.1,6,0,4.7,4,0,3.1,9,0,7.0,63,0,48.8,16,0,12.4,5,0,3.9,4,0,3.1,9,0,7.0,1,0,0.8,1,0,0.8,3,0,2.3,4,0,3.1
BHS,2020-05-02,Bahamas,5,25.0,4.0,3,-50.0,2.4,2,-50.0,1.6,14,55.6,11.3,60,-4.8,48.4,15,-6.2,12.1,3,-40.0,2.4,3,-25.0,2.4,9,0.0,7.3,2,100.0,1.6,1,0.0,0.8,0,-100.0,0,7,75.0,5.6
BHS,2020-05-03,Bahamas,4,-20.0,3.7,0,-100.0,0,2,0.0,1.9,8,-42.9,7.4,69,15.0,63.9,13,-13.3,12.0,0,-100.0,0,2,-33.3,1.9,5,-44.4,4.6,2,0.0,1.9,0,-100.0,0,2,100,1.9,1,-85.7,0.9
BHS,2020-05-04,Bahamas,4,0.0,3.9,2,100,1.9,2,0.0,1.9,20,150.0,19.4,44,-36.2,42.7,13,0.0,12.6,2,100,1.9,3,50.0,2.9,5,0.0,4.9,2,0.0,1.9,1,100,1.0,2,0.0,1.9,3,200.0,2.9
BHS,2020-05-05,Bahamas,1,-75.0,0.8,4,100.0,3.2,4,100.0,3.2,8,-60.0,6.4,76,72.7,60.8,18,38.5,14.4,1,-50.0,0.8,1,-66.7,0.8,7,40.0,5.6,1,-50.0,0.8,0,-100.0,0,1,-50.0,0.8,3,0.0,2.4
BHS,2020-05-06,Bahamas,1,0.0,0.9,3,-25.0,2.8,3,-25.0,2.8,12,50.0,11.2,66,-13.2,61.7,9,-50.0,8.4,3,200.0,2.8,0,-100.0,0,3,-57.1,2.8,1,0.0,0.9,2,100,1.9,4,300.0,3.7,0,-100.0,0
