id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13,docs-14,docs-delta-docs-percent-14,docs-percent-14
ARG,2020-12-01,Argentina,347,0,15.3,149,0,6.6,92,0,4.1,31,0,1.4,1106,0,48.8,104,0,4.6,44,0,1.9,84,0,3.7,65,0,2.9,45,0,2.0,36,0,1.6,18,0,0.8,122,0,5.4,23,0,1.0
ARG,2020-12-02,Argentina,339,-2.3,11.4,154,3.4,5.2,84,-8.7,2.8,31,0.0,1.0,1793,62.1,60.4,81,-22.1,2.7,67,52.3,2.3,95,13.1,3.2,67,3.1,2.3,46,2.2,1.6,30,-16.7,1.0,23,27.8,0.8,140,14.8,4.7,17,-26.1,0.6
ARG,2020-12-03,Argentina,344,1.5,9.2,179,16.2,4.8,505,501.2,13.5,25,-19.4,0.7,2063,15.1,55.2,129,59.3,3.4,61,-9.0,1.6,100,5.3,2.7,85,26.9,2.3,50,8.7,1.3,44,46.7,1.2,13,-43.5,0.3,121,-13.6,3.2,21,23.5,0.6
ARG,2020-12-04,Argentina,322,-6.4,13.1,191,6.7,7.8,388,-23.2,15.8,45,80.0,1.8,996,-51.7,40.5,121,-6.2,4.9,85,39.3,3.5,79,-21.0,3.2,49,-42.4,2.0,30,-40.0,1.2,35,-20.5,1.4,12,-7.7,0.5,89,-26.4,3.6,15,-28.6,0.6
ARG,2020-12-05,Argentina,309,-4.0,19.0,73,-61.8,4.5,118,-69.6,7.2,39,-13.3,2.4,670,-32.7,41.1,94,-22.3,5.8,46,-45.9,2.8,46,-41.8,2.8,35,-28.6,2.1,17,-43.3,1.0,27,-22.9,1.7,14,16.7,0.9,128,43.8,7.9,14,-6.7,0.9
ARG,2020-12-06,Argentina,236,-23.6,13.9,67,-8.2,3.9,63,-46.6,3.7,20,-48.7,1.2,891,33.0,52.5,121,28.7,7.1,84,82.6,4.9,40,-13.0,2.4,35,0.0,2.1,23,35.3,1.4,18,-33.3,1.1,13,-7.1,0.8,75,-41.4,4.4,12,-14.3,0.7
ARG,2020-12-07,Argentina,240,1.7,13.6,84,25.4,4.8,64,1.6,3.6,16,-20.0,0.9,928,4.2,52.6,124,2.5,7.0,80,-4.8,4.5,45,12.5,2.6,30,-14.3,1.7,31,34.8,1.8,21,16.7,1.2,13,0.0,0.7,60,-20.0,3.4,28,133.3,1.6
ARG,2020-12-08,Argentina,312,30.0,12.8,85,1.2,3.5,96,50.0,4.0,23,43.8,0.9,1399,50.8,57.6,148,19.4,6.1,109,36.2,4.5,58,28.9,2.4,33,10.0,1.4,27,-12.9,1.1,27,28.6,1.1,14,7.7,0.6,91,51.7,3.7,8,-71.4,0.3
ARG,2020-12-09,Argentina,367,17.6,13.5,95,11.8,3.5,124,29.2,4.6,41,78.3,1.5,1478,5.6,54.3,169,14.2,6.2,109,0.0,4.0,64,10.3,2.4,43,30.3,1.6,52,92.6,1.9,32,18.5,1.2,22,57.1,0.8,104,14.3,3.8,20,150.0,0.7
ARG,2020-12-10,Argentina,433,18.0,12.5,157,65.3,4.5,179,44.4,5.1,46,12.2,1.3,2073,40.3,59.6,133,-21.3,3.8,68,-37.6,2.0,57,-10.9,1.6,99,130.2,2.8,44,-15.4,1.3,43,34.4,1.2,23,4.5,0.7,94,-9.6,2.7,27,35.0,0.8
ARG,2020-12-11,Argentina,363,-16.2,14.4,127,-19.1,5.0,111,-38.0,4.4,29,-37.0,1.2,1395,-32.7,55.3,138,3.8,5.5,63,-7.4,2.5,45,-21.1,1.8,53,-46.5,2.1,21,-52.3,0.8,42,-2.3,1.7,20,-13.0,0.8,99,5.3,3.9,15,-44.4,0.6
ARG,2020-12-12,Argentina,208,-42.7,12.3,66,-48.0,3.9,81,-27.0,4.8,37,27.6,2.2,958,-31.3,56.5,85,-38.4,5.0,70,11.1,4.1,34,-24.4,2.0,37,-30.2,2.2,15,-28.6,0.9,11,-73.8,0.6,15,-25.0,0.9,62,-37.4,3.7,16,6.7,0.9
ARG,2020-12-13,Argentina,225,8.2,15.9,56,-15.2,4.0,63,-22.2,4.5,22,-40.5,1.6,704,-26.5,49.9,97,14.1,6.9,56,-20.0,4.0,29,-14.7,2.1,42,13.5,3.0,20,33.3,1.4,13,18.2,0.9,13,-13.3,0.9,67,8.1,4.7,4,-75.0,0.3
ARG,2020-12-14,Argentina,282,25.3,13.3,99,76.8,4.7,120,90.5,5.7,28,27.3,1.3,1062,50.9,50.1,119,22.7,5.6,78,39.3,3.7,69,137.9,3.3,59,40.5,2.8,35,75.0,1.7,27,107.7,1.3,17,30.8,0.8,100,49.3,4.7,26,550.0,1.2
ARG,2020-12-15,Argentina,374,32.6,12.9,132,33.3,4.6,152,26.7,5.2,22,-21.4,0.8,1405,32.3,48.5,179,50.4,6.2,249,219.2,8.6,89,29.0,3.1,53,-10.2,1.8,66,88.6,2.3,31,14.8,1.1,17,0.0,0.6,114,14.0,3.9,16,-38.5,0.6
ARG,2020-12-16,Argentina,394,5.3,12.4,144,9.1,4.5,127,-16.4,4.0,21,-4.5,0.7,1707,21.5,53.7,167,-6.7,5.3,168,-32.5,5.3,89,0.0,2.8,88,66.0,2.8,50,-24.2,1.6,37,19.4,1.2,24,41.2,0.8,146,28.1,4.6,16,0.0,0.5
ARG,2020-12-17,Argentina,397,0.8,10.7,146,1.4,3.9,134,5.5,3.6,32,52.4,0.9,2240,31.2,60.3,171,2.4,4.6,145,-13.7,3.9,73,-18.0,2.0,71,-19.3,1.9,50,0.0,1.3,55,48.6,1.5,25,4.2,0.7,137,-6.2,3.7,41,156.2,1.1
ARG,2020-12-18,Argentina,327,-17.6,10.7,122,-16.4,4.0,117,-12.7,3.8,30,-6.2,1.0,1770,-21.0,57.7,182,6.4,5.9,133,-8.3,4.3,78,6.8,2.5,36,-49.3,1.2,45,-10.0,1.5,33,-40.0,1.1,24,-4.0,0.8,153,11.7,5.0,19,-53.7,0.6
ARG,2020-12-19,Argentina,292,-10.7,14.2,109,-10.7,5.3,85,-27.4,4.1,16,-46.7,0.8,1061,-40.1,51.5,131,-28.0,6.4,108,-18.8,5.2,53,-32.1,2.6,33,-8.3,1.6,19,-57.8,0.9,41,24.2,2.0,24,0.0,1.2,80,-47.7,3.9,10,-47.4,0.5
ARG,2020-12-20,Argentina,338,15.8,13.7,109,0.0,4.4,90,5.9,3.6,17,6.2,0.7,1313,23.8,53.2,172,31.3,7.0,114,5.6,4.6,50,-5.7,2.0,45,36.4,1.8,47,147.4,1.9,30,-26.8,1.2,23,-4.2,0.9,95,18.8,3.8,25,150.0,1.0
ARG,2020-12-21,Argentina,479,41.7,11.7,120,10.1,2.9,110,22.2,2.7,23,35.3,0.6,2430,85.1,59.6,245,42.4,6.0,199,74.6,4.9,82,64.0,2.0,60,33.3,1.5,60,27.7,1.5,51,70.0,1.3,29,26.1,0.7,150,57.9,3.7,41,64.0,1.0
ARG,2020-12-22,Argentina,317,-33.8,9.2,124,3.3,3.6,116,5.5,3.4,58,152.2,1.7,2035,-16.3,59.1,195,-20.4,5.7,186,-6.5,5.4,90,9.8,2.6,45,-25.0,1.3,44,-26.7,1.3,30,-41.2,0.9,20,-31.0,0.6,147,-2.0,4.3,38,-7.3,1.1
ARG,2020-12-23,Argentina,459,44.8,11.1,110,-11.3,2.7,107,-7.8,2.6,35,-39.7,0.8,2561,25.8,62.0,190,-2.6,4.6,223,19.9,5.4,94,4.4,2.3,53,17.8,1.3,53,20.5,1.3,42,40.0,1.0,29,45.0,0.7,141,-4.1,3.4,36,-5.3,0.9
ARG,2020-12-24,Argentina,320,-30.3,8.7,149,35.5,4.1,139,29.9,3.8,25,-28.6,0.7,2333,-8.9,63.4,170,-10.5,4.6,194,-13.0,5.3,45,-52.1,1.2,43,-18.9,1.2,43,-18.9,1.2,33,-21.4,0.9,16,-44.8,0.4,127,-9.9,3.5,42,16.7,1.1
ARG,2020-12-25,Argentina,189,-40.9,11.6,62,-58.4,3.8,77,-44.6,4.7,10,-60.0,0.6,939,-59.8,57.5,78,-54.1,4.8,107,-44.8,6.6,36,-20.0,2.2,14,-67.4,0.9,16,-62.8,1.0,25,-24.2,1.5,12,-25.0,0.7,57,-55.1,3.5,10,-76.2,0.6
ARG,2020-12-26,Argentina,249,31.7,10.7,85,37.1,3.6,56,-27.3,2.4,18,80.0,0.8,1478,57.4,63.5,106,35.9,4.6,75,-29.9,3.2,59,63.9,2.5,21,50.0,0.9,24,50.0,1.0,33,32.0,1.4,13,8.3,0.6,92,61.4,4.0,20,100.0,0.9
ARG,2020-12-27,Argentina,268,7.6,10.8,97,14.1,3.9,65,16.1,2.6,15,-16.7,0.6,1600,8.3,64.7,103,-2.8,4.2,63,-16.0,2.5,54,-8.5,2.2,27,28.6,1.1,22,-8.3,0.9,35,6.1,1.4,12,-7.7,0.5,91,-1.1,3.7,22,10.0,0.9
ARG,2020-12-28,Argentina,348,29.9,8.3,158,62.9,3.8,76,16.9,1.8,30,100.0,0.7,2926,82.9,69.7,167,62.1,4.0,71,12.7,1.7,76,40.7,1.8,55,103.7,1.3,49,122.7,1.2,42,20.0,1.0,20,66.7,0.5,148,62.6,3.5,32,45.5,0.8
ARG,2020-12-29,Argentina,403,15.8,7.0,168,6.3,2.9,124,63.2,2.1,25,-16.7,0.4,4216,44.1,72.9,238,42.5,4.1,76,7.0,1.3,79,3.9,1.4,65,18.2,1.1,38,-22.4,0.7,49,16.7,0.8,30,50.0,0.5,198,33.8,3.4,74,131.2,1.3
ARG,2020-12-30,Argentina,628,55.8,12.9,182,8.3,3.7,227,83.1,4.7,38,52.0,0.8,2950,-30.0,60.7,293,23.1,6.0,97,27.6,2.0,105,32.9,2.2,74,13.8,1.5,43,13.2,0.9,34,-30.6,0.7,25,-16.7,0.5,122,-38.4,2.5,41,-44.6,0.8
ARG,2020-12-31,Argentina,860,36.9,20.1,154,-15.4,3.6,206,-9.3,4.8,16,-57.9,0.4,2227,-24.5,52.1,244,-16.7,5.7,111,14.4,2.6,78,-25.7,1.8,48,-35.1,1.1,64,48.8,1.5,47,38.2,1.1,36,44.0,0.8,152,24.6,3.6,31,-24.4,0.7
BHS,2020-12-01,Bahamas,35,0,9.5,78,0,21.1,19,0,5.1,6,0,1.6,64,0,17.3,20,0,5.4,15,0,4.1,15,0,4.1,59,0,16.0,12,0,3.3,3,0,0.8,8,0,2.2,22,0,6.0,13,0,3.5
BHS,2020-12-02,Bahamas,25,-28.6,7.1,69,-11.5,19.5,25,31.6,7.1,2,-66.7,0.6,67,4.7,19.0,23,15.0,6.5,11,-26.7,3.1,21,40.0,5.9,44,-25.4,12.5,12,0.0,3.4,0,-100.0,0,18,125.0,5.1,27,22.7,7.6,9,-30.8,2.5
BHS,2020-12-03,Bahamas,21,-16.0,5.0,76,10.1,18.2,21,-16.0,5.0,10,400.0,2.4,87,29.9,20.9,20,-13.0,4.8,19,72.7,4.6,16,-23.8,3.8,63,43.2,15.1,21,75.0,5.0,2,100,0.5,16,-11.1,3.8,34,25.9,8.2,11,22.2,2.6
BHS,2020-12-04,Bahamas,29,38.1,6.2,95,25.0,20.3,28,33.3,6.0,7,-30.0,1.5,69,-20.7,14.7,30,50.0,6.4,18,-5.3,3.8,21,31.2,4.5,66,4.8,14.1,36,71.4,7.7,1,-50.0,0.2,15,-6.2,3.2,45,32.4,9.6,9,-18.2,1.9
BHS,2020-12-05,Bahamas,25,-13.8,7.7,76,-20.0,23.4,14,-50.0,4.3,4,-42.9,1.2,47,-31.9,14.5,24,-20.0,7.4,13,-27.8,4.0,8,-61.9,2.5,41,-37.9,12.6,40,11.1,12.3,1,0.0,0.3,5,-66.7,1.5,21,-53.3,6.5,6,-33.3,1.8
BHS,2020-12-06,Bahamas,30,20.0,8.0,87,14.5,23.2,25,78.6,6.7,13,225.0,3.5,78,66.0,20.8,26,8.3,6.9,13,0.0,3.5,11,37.5,2.9,41,0.0,10.9,22,-45.0,5.9,1,0.0,0.3,2,-60.0,0.5,20,-4.8,5.3,6,0.0,1.6
BHS,2020-12-07,Bahamas,29,-3.3,8.3,68,-21.8,19.4,21,-16.0,6.0,3,-76.9,0.9,57,-26.9,16.3,21,-19.2,6.0,16,23.1,4.6,17,54.5,4.9,50,22.0,14.3,13,-40.9,3.7,5,400.0,1.4,4,100.0,1.1,26,30.0,7.4,20,233.3,5.7
BHS,2020-12-08,Bahamas,19,-34.5,4.3,74,8.8,16.9,46,119.0,10.5,6,100.0,1.4,85,49.1,19.4,35,66.7,8.0,19,18.8,4.3,13,-23.5,3.0,60,20.0,13.7,12,-7.7,2.7,4,-20.0,0.9,20,400.0,4.6,37,42.3,8.4,9,-55.0,2.1
BHS,2020-12-09,Bahamas,17,-10.5,4.0,110,48.6,25.8,28,-39.1,6.6,9,50.0,2.1,57,-32.9,13.4,24,-31.4,5.6,15,-21.1,3.5,20,53.8,4.7,63,5.0,14.8,18,50.0,4.2,0,-100.0,0,15,-25.0,3.5,36,-2.7,8.5,14,55.6,3.3
BHS,2020-12-10,Bahamas,24,41.2,5.0,89,-19.1,18.6,25,-10.7,5.2,5,-44.4,1.0,92,61.4,19.2,35,45.8,7.3,23,53.3,4.8,19,-5.0,4.0,78,23.8,16.3,18,0.0,3.8,3,100,0.6,8,-46.7,1.7,42,16.7,8.8,18,28.6,3.8
BHS,2020-12-11,Bahamas,31,29.2,5.7,78,-12.4,14.2,137,448.0,25.0,10,100.0,1.8,72,-21.7,13.1,38,8.6,6.9,27,17.4,4.9,16,-15.8,2.9,58,-25.6,10.6,16,-11.1,2.9,3,0.0,0.5,12,50.0,2.2,38,-9.5,6.9,12,-33.3,2.2
BHS,2020-12-12,Bahamas,21,-32.3,6.3,74,-5.1,22.2,31,-77.4,9.3,3,-70.0,0.9,62,-13.9,18.6,31,-18.4,9.3,18,-33.3,5.4,8,-50.0,2.4,33,-43.1,9.9,12,-25.0,3.6,2,-33.3,0.6,5,-58.3,1.5,26,-31.6,7.8,8,-33.3,2.4
BHS,2020-12-13,Bahamas,20,-4.8,5.8,83,12.2,23.9,22,-29.0,6.3,3,0.0,0.9,50,-19.4,14.4,23,-25.8,6.6,16,-11.1,4.6,16,100.0,4.6,54,63.6,15.6,19,58.3,5.5,1,-50.0,0.3,8,60.0,2.3,25,-3.8,7.2,7,-12.5,2.0
BHS,2020-12-14,Bahamas,28,40.0,5.7,109,31.3,22.2,29,31.8,5.9,2,-33.3,0.4,99,98.0,20.2,30,30.4,6.1,18,12.5,3.7,17,6.2,3.5,83,53.7,16.9,22,15.8,4.5,5,400.0,1.0,9,12.5,1.8,33,32.0,6.7,6,-14.3,1.2
BHS,2020-12-15,Bahamas,12,-57.1,2.7,95,-12.8,21.1,27,-6.9,6.0,8,300.0,1.8,90,-9.1,20.0,29,-3.3,6.4,17,-5.6,3.8,19,11.8,4.2,85,2.4,18.9,13,-40.9,2.9,2,-60.0,0.4,11,22.2,2.4,29,-12.1,6.4,13,116.7,2.9
BHS,2020-12-16,Bahamas,32,166.7,6.9,99,4.2,21.3,33,22.2,7.1,14,75.0,3.0,83,-7.8,17.8,33,13.8,7.1,16,-5.9,3.4,17,-10.5,3.7,67,-21.2,14.4,17,30.8,3.7,1,-50.0,0.2,9,-18.2,1.9,38,31.0,8.2,6,-53.8,1.3
BHS,2020-12-17,Bahamas,26,-18.8,5.5,101,2.0,21.3,41,24.2,8.6,15,7.1,3.2,71,-14.5,14.9,35,6.1,7.4,24,50.0,5.1,15,-11.8,3.2,73,9.0,15.4,20,17.6,4.2,1,0.0,0.2,7,-22.2,1.5,32,-15.8,6.7,14,133.3,2.9
BHS,2020-12-18,Bahamas,25,-3.8,5.9,77,-23.8,18.0,29,-29.3,6.8,9,-40.0,2.1,79,11.3,18.5,33,-5.7,7.7,12,-50.0,2.8,18,20.0,4.2,62,-15.1,14.5,25,25.0,5.9,1,0.0,0.2,13,85.7,3.0,28,-12.5,6.6,16,14.3,3.7
BHS,2020-12-19,Bahamas,25,0.0,7.9,66,-14.3,20.8,26,-10.3,8.2,7,-22.2,2.2,53,-32.9,16.7,28,-15.2,8.8,14,16.7,4.4,14,-22.2,4.4,28,-54.8,8.8,11,-56.0,3.5,1,0.0,0.3,4,-69.2,1.3,32,14.3,10.1,9,-43.8,2.8
BHS,2020-12-20,Bahamas,19,-24.0,5.7,78,18.2,23.3,21,-19.2,6.3,2,-71.4,0.6,69,30.2,20.6,24,-14.3,7.2,18,28.6,5.4,11,-21.4,3.3,44,57.1,13.1,18,63.6,5.4,2,100.0,0.6,8,100.0,2.4,15,-53.1,4.5,6,-33.3,1.8
BHS,2020-12-21,Bahamas,29,52.6,7.3,75,-3.8,18.8,47,123.8,11.8,8,300.0,2.0,78,13.0,19.6,26,8.3,6.5,15,-16.7,3.8,19,72.7,4.8,47,6.8,11.8,21,16.7,5.3,2,0.0,0.5,9,12.5,2.3,18,20.0,4.5,4,-33.3,1.0
BHS,2020-12-22,Bahamas,32,10.3,7.3,89,18.7,20.2,30,-36.2,6.8,11,37.5,2.5,98,25.6,22.2,38,46.2,8.6,21,40.0,4.8,9,-52.6,2.0,49,4.3,11.1,14,-33.3,3.2,3,50.0,0.7,5,-44.4,1.1,31,72.2,7.0,11,175.0,2.5
BHS,2020-12-23,Bahamas,23,-28.1,5.5,85,-4.5,20.3,56,86.7,13.4,7,-36.4,1.7,82,-16.3,19.6,32,-15.8,7.6,15,-28.6,3.6,21,133.3,5.0,38,-22.4,9.1,13,-7.1,3.1,3,0.0,0.7,3,-40.0,0.7,32,3.2,7.6,9,-18.2,2.1
BHS,2020-12-24,Bahamas,30,30.4,8.7,78,-8.2,22.6,19,-66.1,5.5,0,-100.0,0,58,-29.3,16.8,32,0.0,9.3,22,46.7,6.4,9,-57.1,2.6,47,23.7,13.6,12,-7.7,3.5,1,-66.7,0.3,5,66.7,1.4,23,-28.1,6.7,9,0.0,2.6
BHS,2020-12-25,Bahamas,21,-30.0,6.8,126,61.5,40.5,24,26.3,7.7,6,100,1.9,36,-37.9,11.6,16,-50.0,5.1,6,-72.7,1.9,11,22.2,3.5,26,-44.7,8.4,6,-50.0,1.9,1,0.0,0.3,6,20.0,1.9,20,-13.0,6.4,6,-33.3,1.9
BHS,2020-12-26,Bahamas,14,-33.3,4.8,97,-23.0,33.3,22,-8.3,7.6,2,-66.7,0.7,51,41.7,17.5,17,6.2,5.8,15,150.0,5.2,6,-45.5,2.1,23,-11.5,7.9,18,200.0,6.2,0,-100.0,0,8,33.3,2.7,14,-30.0,4.8,4,-33.3,1.4
BHS,2020-12-27,Bahamas,22,57.1,8.3,64,-34.0,24.1,22,0.0,8.3,1,-50.0,0.4,49,-3.9,18.4,25,47.1,9.4,9,-40.0,3.4,6,0.0,2.3,27,17.4,10.2,16,-11.1,6.0,1,100,0.4,7,-12.5,2.6,15,7.1,5.6,2,-50.0,0.8
BHS,2020-12-28,Bahamas,21,-4.5,6.4,93,45.3,28.5,19,-13.6,5.8,8,700.0,2.5,39,-20.4,12.0,26,4.0,8.0,9,0.0,2.8,14,133.3,4.3,46,70.4,14.1,15,-6.2,4.6,3,200.0,0.9,7,0.0,2.1,17,13.3,5.2,9,350.0,2.8
BHS,2020-12-29,Bahamas,26,23.8,6.0,124,33.3,28.8,26,36.8,6.0,5,-37.5,1.2,62,59.0,14.4,39,50.0,9.0,13,44.4,3.0,10,-28.6,2.3,48,4.3,11.1,19,26.7,4.4,22,633.3,5.1,8,14.3,1.9,25,47.1,5.8,4,-55.6,0.9
BHS,2020-12-30,Bahamas,17,-34.6,4.8,91,-26.6,25.7,21,-19.2,5.9,5,0.0,1.4,72,16.1,20.3,25,-35.9,7.1,13,0.0,3.7,11,10.0,3.1,48,0.0,13.6,16,-15.8,4.5,2,-90.9,0.6,6,-25.0,1.7,18,-28.0,5.1,9,125.0,2.5
BHS,2020-12-31,Bahamas,31,82.4,7.1,84,-7.7,19.3,40,90.5,9.2,7,40.0,1.6,87,20.8,20.0,37,48.0,8.5,14,7.7,3.2,24,118.2,5.5,61,27.1,14.0,22,37.5,5.1,1,-50.0,0.2,5,-16.7,1.1,18,0.0,4.1,4,-55.6,0.9
BRB,2020-12-01,Barbados,10,0,5.0,63,0,31.7,10,0,5.0,4,0,2.0,28,0,14.1,8,0,4.0,13,0,6.5,4,0,2.0,25,0,12.6,4,0,2.0,1,0,0.5,6,0,3.0,17,0,8.5,6,0,3.0
BRB,2020-12-02,Barbados,12,20.0,4.6,91,44.4,34.9,9,-10.0,3.4,3,-25.0,1.1,31,10.7,11.9,10,25.0,3.8,6,-53.8,2.3,16,300.0,6.1,34,36.0,13.0,10,150.0,3.8,2,100.0,0.8,6,0.0,2.3,26,52.9,10.0,5,-16.7,1.9
BRB,2020-12-03,Barbados,15,25.0,6.0,90,-1.1,36.1,9,0.0,3.6,3,0.0,1.2,31,0.0,12.4,12,20.0,4.8,12,100.0,4.8,12,-25.0,4.8,22,-35.3,8.8,8,-20.0,3.2,5,150.0,2.0,11,83.3,4.4,15,-42.3,6.0,4,-20.0,1.6
BRB,2020-12-04,Barbados,15,0.0,5.8,83,-7.8,32.3,15,66.7,5.8,5,66.7,1.9,36,16.1,14.0,15,25.0,5.8,17,41.7,6.6,15,25.0,5.8,23,4.5,8.9,5,-37.5,1.9,1,-80.0,0.4,6,-45.5,2.3,16,6.7,6.2,5,25.0,1.9
BRB,2020-12-05,Barbados,12,-20.0,5.9,70,-15.7,34.3,6,-60.0,2.9,4,-20.0,2.0,29,-19.4,14.2,9,-40.0,4.4,8,-52.9,3.9,10,-33.3,4.9,21,-8.7,10.3,17,240.0,8.3,0,-100.0,0,4,-33.3,2.0,10,-37.5,4.9,4,-20.0,2.0
BRB,2020-12-06,Barbados,18,50.0,6.4,97,38.6,34.4,14,133.3,5.0,0,-100.0,0,42,44.8,14.9,23,155.6,8.2,9,12.5,3.2,19,90.0,6.7,22,4.8,7.8,13,-23.5,4.6,0,0,0,4,0.0,1.4,13,30.0,4.6,8,100.0,2.8
BRB,2020-12-07,Barbados,10,-44.4,3.9,93,-4.1,36.5,9,-35.7,3.5,5,100,2.0,30,-28.6,11.8,7,-69.6,2.7,12,33.3,4.7,8,-57.9,3.1,47,113.6,18.4,9,-30.8,3.5,0,0,0,6,50.0,2.4,18,38.5,7.1,1,-87.5,0.4
BRB,2020-12-08,Barbados,13,30.0,5.4,78,-16.1,32.2,7,-22.2,2.9,3,-40.0,1.2,41,36.7,16.9,12,71.4,5.0,14,16.7,5.8,10,25.0,4.1,34,-27.7,14.0,5,-44.4,2.1,5,100,2.1,4,-33.3,1.7,14,-22.2,5.8,2,100.0,0.8
BRB,2020-12-09,Barbados,6,-53.8,2.4,79,1.3,31.5,11,57.1,4.4,6,100.0,2.4,40,-2.4,15.9,9,-25.0,3.6,11,-21.4,4.4,12,20.0,4.8,35,2.9,13.9,9,80.0,3.6,3,-40.0,1.2,6,50.0,2.4,19,35.7,7.6,5,150.0,2.0
BRB,2020-12-10,Barbados,20,233.3,6.6,111,40.5,36.9,11,0.0,3.7,5,-16.7,1.7,38,-5.0,12.6,16,77.8,5.3,13,18.2,4.3,8,-33.3,2.7,37,5.7,12.3,12,33.3,4.0,2,-33.3,0.7,4,-33.3,1.3,23,21.1,7.6,1,-80.0,0.3
BRB,2020-12-11,Barbados,16,-20.0,7.4,66,-40.5,30.7,13,18.2,6.0,5,0.0,2.3,25,-34.2,11.6,9,-43.8,4.2,13,0.0,6.0,10,25.0,4.7,33,-10.8,15.3,6,-50.0,2.8,1,-50.0,0.5,5,25.0,2.3,8,-65.2,3.7,5,400.0,2.3
