id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-08-01,Argentina,24,0,0.01,3,5,1,3,407,0,0.13,54,129,22,60,38,0,0.01,7,16,6,7,234,0,0.07,25,48,8,19,0,0,0,0,0,0,0,211,0,0.07,62,48,8,45,448,0,0.14,64,179,28,108,209,0,0.07,27,59,13,49,48,0,0.02,2,8,1,4,220,0,0.07,31,70,9,69,207,0,0.07,36,58,8,60,182,0,0.06,15,63,4,34,86,0,0.03,14,26,4,17,208,0,0.07,43,88,16,101,17,0,0.01,1,7,0,3,112,0,0.04,31,28,5,38,133,0,0.04,25,55,10,51,349,0,0.11,68,136,23,116
ARG,2022-08-02,Argentina,21,-0.12,0.01,4,7,3,3,468,0.15,0.15,69,141,23,83,34,-0.11,0.01,8,7,2,3,192,-0.18,0.06,22,45,5,20,0,100,0,0,0,0,0,201,-0.05,0.06,55,63,6,48,431,-0.04,0.13,69,159,24,138,187,-0.11,0.06,25,60,17,64,45,-0.06,0.01,3,12,0,4,240,0.09,0.07,30,89,14,55,239,0.15,0.07,37,98,15,74,205,0.13,0.06,26,56,10,46,83,-0.03,0.03,16,22,2,25,226,0.09,0.07,43,103,37,116,20,0.18,0.01,5,7,4,4,123,0.1,0.04,52,24,5,41,144,0.08,0.04,22,67,8,78,368,0.05,0.11,82,138,27,154
ARG,2022-08-03,Argentina,37,0.76,0.01,3,18,2,12,477,0.02,0.12,68,163,23,63,50,0.47,0.01,10,16,6,12,274,0.43,0.07,42,74,8,38,0,100,0,0,0,0,0,292,0.45,0.07,71,92,15,76,656,0.52,0.16,90,283,18,142,294,0.57,0.07,39,126,34,94,20,-0.56,0,1,10,2,3,322,0.34,0.08,49,125,15,75,245,0.03,0.06,50,77,15,71,243,0.19,0.06,38,67,9,46,87,0.05,0.02,14,24,3,23,220,-0.03,0.05,40,117,21,108,23,0.15,0.01,5,9,1,5,134,0.09,0.03,33,51,12,43,165,0.15,0.04,35,49,12,64,601,0.63,0.15,81,225,32,218
ARG,2022-08-04,Argentina,23,-0.38,0.01,4,8,3,8,407,-0.15,0.11,58,125,10,60,62,0.24,0.02,14,27,9,23,232,-0.15,0.06,31,65,11,12,0,100,0,0,0,0,0,208,-0.29,0.05,52,56,10,45,629,-0.04,0.16,92,250,36,177,318,0.08,0.08,60,121,27,113,33,0.65,0.01,2,10,0,3,325,0.01,0.08,51,103,21,71,207,-0.16,0.05,33,79,10,57,238,-0.02,0.06,17,71,9,54,101,0.16,0.03,19,34,9,29,283,0.29,0.07,68,111,28,133,42,0.83,0.01,6,4,2,4,121,-0.1,0.03,21,43,6,39,175,0.06,0.05,33,55,11,66,468,-0.22,0.12,75,193,29,148
ARG,2022-08-05,Argentina,32,0.39,0.01,3,11,2,8,465,0.14,0.13,66,143,17,61,62,0,0.02,8,15,5,13,231,0,0.07,39,59,5,16,0,100,0,0,0,0,0,242,0.16,0.07,69,67,13,61,496,-0.21,0.14,88,186,27,113,239,-0.25,0.07,47,102,23,76,18,-0.45,0.01,0,5,0,3,251,-0.23,0.07,48,89,20,82,267,0.29,0.08,62,110,19,103,229,-0.04,0.07,34,59,6,52,105,0.04,0.03,23,25,6,32,219,-0.23,0.06,58,104,23,111,21,-0.5,0.01,4,6,1,2,126,0.04,0.04,30,29,6,33,128,-0.27,0.04,27,53,11,48,378,-0.19,0.11,64,170,34,142
ARG,2022-08-06,Argentina,18,-0.44,0.01,2,7,2,7,296,-0.36,0.13,64,113,11,54,47,-0.24,0.02,11,8,2,5,130,-0.44,0.06,9,42,4,7,0,100,0,0,0,0,0,132,-0.45,0.06,33,56,9,42,354,-0.29,0.16,72,154,21,94,133,-0.44,0.06,28,55,16,50,15,-0.17,0.01,3,5,1,3,146,-0.42,0.06,27,66,15,46,161,-0.4,0.07,38,57,7,55,144,-0.37,0.06,25,47,7,31,72,-0.31,0.03,22,25,5,23,126,-0.42,0.06,41,58,12,72,25,0.19,0.01,4,5,1,2,79,-0.37,0.03,29,29,6,28,82,-0.36,0.04,19,28,5,35,307,-0.19,0.14,43,176,25,138
BHS,2022-08-01,Bahamas,1,0,0.01,0,0,0,0,14,0,0.09,4,2,2,1,7,0,0.04,0,1,0,0,4,0,0.02,1,1,0,0,0,0,0,0,0,0,0,36,0,0.22,5,11,3,1,8,0,0.05,5,2,1,3,10,0,0.06,1,4,0,2,0,0,0,0,0,0,0,12,0,0.07,1,2,2,1,12,0,0.07,2,6,0,1,11,0,0.07,3,3,2,1,1,0,0.01,0,0,0,0,25,0,0.16,3,2,0,3,2,0,0.01,0,0,0,1,2,0,0.01,0,0,1,0,12,0,0.07,3,5,1,2,4,0,0.02,0,2,1,2
BHS,2022-08-02,Bahamas,5,4,0.02,1,0,0,1,14,0,0.06,8,2,0,3,4,-0.43,0.02,0,0,1,0,5,0.25,0.02,2,1,0,0,0,100,0,0,0,0,0,54,0.5,0.23,15,12,8,8,16,1,0.07,6,5,0,5,10,0,0.04,4,4,1,2,1,100,0,0,1,1,1,15,0.25,0.06,5,4,1,4,16,0.33,0.07,3,2,5,4,15,0.36,0.06,2,6,1,2,6,5,0.03,2,1,0,1,24,-0.04,0.1,8,5,2,11,10,4,0.04,0,2,1,2,2,0,0.01,1,0,0,0,35,1.92,0.15,8,5,2,8,3,-0.25,0.01,2,0,0,1
BHS,2022-08-03,Bahamas,2,-0.6,0.01,1,0,0,0,23,0.64,0.09,5,7,2,1,12,2,0.05,2,4,1,1,11,1.2,0.04,1,3,0,0,0,100,0,0,0,0,0,65,0.2,0.25,18,16,5,7,21,0.31,0.08,6,7,1,5,3,-0.7,0.01,0,1,0,0,5,4,0.02,2,1,0,1,17,0.13,0.07,5,5,1,6,10,-0.37,0.04,2,5,1,2,13,-0.13,0.05,2,4,2,1,1,-0.83,0,1,0,0,0,36,0.5,0.14,9,11,9,12,5,-0.5,0.02,0,1,0,0,8,3,0.03,4,1,0,1,19,-0.46,0.07,3,1,0,4,6,1,0.02,2,0,0,1
BHS,2022-08-04,Bahamas,4,1,0.02,1,1,0,0,30,0.3,0.13,5,5,0,2,14,0.17,0.06,3,1,2,4,9,-0.18,0.04,0,0,1,0,0,100,0,0,0,0,0,43,-0.34,0.19,14,10,3,6,14,-0.33,0.06,5,1,1,0,4,0.33,0.02,2,2,2,2,2,-0.6,0.01,0,0,0,1,14,-0.18,0.06,2,0,2,1,23,1.3,0.1,3,3,3,3,15,0.15,0.06,3,4,1,2,2,1,0.01,0,2,0,1,29,-0.19,0.13,8,4,2,8,4,-0.2,0.02,1,2,0,1,4,-0.5,0.02,0,0,0,0,8,-0.58,0.03,0,4,2,1,13,1.17,0.06,0,2,0,1
