id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13,docs-14,docs-delta-docs-percent-14,docs-percent-14
ARG,2020-11-01,Argentina,218,0,9.3,77,0,3.3,435,0,18.6,134,0,5.7,740,0,31.7,289,0,12.4,115,0,4.9,46,0,2.0,44,0,1.9,80,0,3.4,28,0,1.2,17,0,0.7,89,0,3.8,22,0,0.9
ARG,2020-11-02,Argentina,273,25.2,6.8,75,-2.6,1.9,447,2.8,11.2,175,30.6,4.4,2050,177.0,51.2,342,18.3,8.5,97,-15.7,2.4,74,60.9,1.8,100,127.3,2.5,121,51.2,3.0,34,21.4,0.8,29,70.6,0.7,149,67.4,3.7,38,72.7,0.9
ARG,2020-11-03,Argentina,262,-4.0,5.7,63,-16.0,1.4,549,22.8,12.0,223,27.4,4.9,2492,21.6,54.6,358,4.7,7.8,50,-48.5,1.1,78,5.4,1.7,75,-25.0,1.6,142,17.4,3.1,21,-38.2,0.5,29,0.0,0.6,176,18.1,3.9,45,18.4,1.0
ARG,2020-11-04,Argentina,253,-3.4,8.5,62,-1.6,2.1,411,-25.1,13.9,208,-6.7,7.0,1311,-47.4,44.2,259,-27.7,8.7,35,-30.0,1.2,63,-19.2,2.1,60,-20.0,2.0,95,-33.1,3.2,15,-28.6,0.5,20,-31.0,0.7,141,-19.9,4.8,32,-28.9,1.1
ARG,2020-11-05,Argentina,234,-7.5,7.5,65,4.8,2.1,390,-5.1,12.6,203,-2.4,6.5,1261,-3.8,40.6,371,43.2,11.9,44,25.7,1.4,83,31.7,2.7,103,71.7,3.3,117,23.2,3.8,19,26.7,0.6,30,50.0,1.0,154,9.2,5.0,32,0.0,1.0
ARG,2020-11-06,Argentina,1022,336.8,24.4,131,101.5,3.1,218,-44.1,5.2,119,-41.4,2.8,1238,-1.8,29.6,674,81.7,16.1,95,115.9,2.3,122,47.0,2.9,248,140.8,5.9,98,-16.2,2.3,22,15.8,0.5,26,-13.3,0.6,151,-1.9,3.6,24,-25.0,0.6
ARG,2020-11-07,Argentina,675,-34.0,23.9,100,-23.7,3.5,160,-26.6,5.7,79,-33.6,2.8,981,-20.8,34.7,345,-48.8,12.2,95,0.0,3.4,91,-25.4,3.2,50,-79.8,1.8,60,-38.8,2.1,11,-50.0,0.4,29,11.5,1.0,124,-17.9,4.4,25,4.2,0.9
ARG,2020-11-08,Argentina,473,-29.9,23.5,90,-10.0,4.5,111,-30.6,5.5,42,-46.8,2.1,623,-36.5,31.0,226,-34.5,11.2,86,-9.5,4.3,51,-44.0,2.5,74,48.0,3.7,52,-13.3,2.6,11,0.0,0.5,22,-24.1,1.1,136,9.7,6.8,14,-44.0,0.7
ARG,2020-11-09,Argentina,723,52.9,18.6,131,45.6,3.4,171,54.1,4.4,82,95.2,2.1,1736,178.7,44.7,318,40.7,8.2,104,20.9,2.7,89,74.5,2.3,188,154.1,4.8,40,-23.1,1.0,10,-9.1,0.3,39,77.3,1.0,225,65.4,5.8,31,121.4,0.8
ARG,2020-11-10,Argentina,470,-35.0,13.8,161,22.9,4.7,184,7.6,5.4,79,-3.7,2.3,1520,-12.4,44.7,232,-27.0,6.8,91,-12.5,2.7,91,2.2,2.7,228,21.3,6.7,84,110.0,2.5,20,100.0,0.6,34,-12.8,1.0,188,-16.4,5.5,17,-45.2,0.5
ARG,2020-11-11,Argentina,984,109.4,24.0,138,-14.3,3.4,210,14.1,5.1,86,8.9,2.1,1486,-2.2,36.2,275,18.5,6.7,71,-22.0,1.7,162,78.0,3.9,308,35.1,7.5,115,36.9,2.8,15,-25.0,0.4,31,-8.8,0.8,198,5.3,4.8,25,47.1,0.6
ARG,2020-11-12,Argentina,605,-38.5,18.7,383,177.5,11.8,217,3.3,6.7,85,-1.2,2.6,1020,-31.4,31.5,320,16.4,9.9,81,14.1,2.5,84,-48.1,2.6,108,-64.9,3.3,66,-42.6,2.0,32,113.3,1.0,23,-25.8,0.7,189,-4.5,5.8,22,-12.0,0.7
ARG,2020-11-13,Argentina,419,-30.7,16.3,236,-38.4,9.2,159,-26.7,6.2,64,-24.7,2.5,892,-12.5,34.7,224,-30.0,8.7,75,-7.4,2.9,103,22.6,4.0,76,-29.6,3.0,40,-39.4,1.6,50,56.2,1.9,29,26.1,1.1,185,-2.1,7.2,17,-22.7,0.7
ARG,2020-11-14,Argentina,388,-7.4,21.7,101,-57.2,5.7,89,-44.0,5.0,58,-9.4,3.2,610,-31.6,34.2,162,-27.7,9.1,67,-10.7,3.8,60,-41.7,3.4,45,-40.8,2.5,37,-7.5,2.1,28,-44.0,1.6,17,-41.4,1.0,105,-43.2,5.9,19,11.8,1.1
ARG,2020-11-15,Argentina,388,0.0,21.1,95,-5.9,5.2,115,29.2,6.3,40,-31.0,2.2,636,4.3,34.7,171,5.6,9.3,73,9.0,4.0,56,-6.7,3.1,65,44.4,3.5,39,5.4,2.1,38,35.7,2.1,21,23.5,1.1,84,-20.0,4.6,14,-26.3,0.8
ARG,2020-11-16,Argentina,499,28.6,16.5,140,47.4,4.6,128,11.3,4.2,42,5.0,1.4,1234,94.0,40.8,191,11.7,6.3,97,32.9,3.2,102,82.1,3.4,127,95.4,4.2,48,23.1,1.6,51,34.2,1.7,22,4.8,0.7,309,267.9,10.2,35,150.0,1.2
ARG,2020-11-17,Argentina,474,-5.0,15.6,154,10.0,5.1,198,54.7,6.5,88,109.5,2.9,1234,0.0,40.7,216,13.1,7.1,87,-10.3,2.9,100,-2.0,3.3,140,10.2,4.6,61,27.1,2.0,61,19.6,2.0,21,-4.5,0.7,173,-44.0,5.7,22,-37.1,0.7
ARG,2020-11-18,Argentina,455,-4.0,11.2,132,-14.3,3.2,155,-21.7,3.8,95,8.0,2.3,2483,101.2,60.9,154,-28.7,3.8,75,-13.8,1.8,88,-12.0,2.2,115,-17.9,2.8,41,-32.8,1.0,32,-47.5,0.8,25,19.0,0.6,203,17.3,5.0,23,4.5,0.6
ARG,2020-11-19,Argentina,490,7.7,15.6,127,-3.8,4.0,129,-16.8,4.1,58,-38.9,1.8,1664,-33.0,53.0,133,-13.6,4.2,65,-13.3,2.1,108,22.7,3.4,103,-10.4,3.3,37,-9.8,1.2,48,50.0,1.5,23,-8.0,0.7,140,-31.0,4.5,17,-26.1,0.5
