id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2023-05-01,Argentina,23,0,0.01,3,7,1,3,269,0,0.1,55,97,17,65,29,0,0.01,7,10,3,6,109,0,0.04,9,29,5,14,0,0,0,0,0,0,0,173,0,0.07,42,60,11,47,653,0,0.25,108,222,46,151,122,0,0.05,18,63,15,43,34,0,0.01,7,4,0,1,169,0,0.06,28,55,13,37,160,0,0.06,35,52,5,53,133,0,0.05,26,54,8,47,62,0,0.02,10,28,6,18,188,0,0.07,25,94,29,86,25,0,0.01,3,8,1,4,100,0,0.04,20,38,6,34,79,0,0.03,14,38,6,38,276,0,0.11,47,116,18,118
ARG,2023-05-02,Argentina,33,0.43,0.01,4,4,2,8,498,0.85,0.15,56,130,14,80,29,0,0.01,7,8,1,6,207,0.9,0.06,19,41,4,17,0,100,0,0,0,0,0,260,0.5,0.08,62,86,23,63,572,-0.12,0.17,96,197,59,175,149,0.22,0.04,19,77,14,64,43,0.26,0.01,3,10,1,2,248,0.47,0.07,28,79,18,62,187,0.17,0.06,32,63,13,65,244,0.83,0.07,27,70,6,58,71,0.15,0.02,16,15,1,20,192,0.02,0.06,31,100,26,91,40,0.6,0.01,7,12,1,8,128,0.28,0.04,22,51,14,42,111,0.41,0.03,20,54,11,55,302,0.09,0.09,41,126,32,120
ARG,2023-05-03,Argentina,29,-0.12,0.01,4,10,3,7,551,0.11,0.18,79,144,24,86,36,0.24,0.01,8,13,1,4,180,-0.13,0.06,18,49,8,22,0,100,0,0,0,0,0,223,-0.14,0.07,44,64,12,57,458,-0.2,0.15,70,157,35,136,141,-0.05,0.05,23,60,9,43,21,-0.51,0.01,0,8,0,2,225,-0.09,0.07,31,75,14,61,197,0.05,0.06,41,67,14,77,230,-0.06,0.07,26,65,8,48,73,0.03,0.02,11,37,1,18,196,0.02,0.06,45,78,32,94,28,-0.3,0.01,1,13,2,3,116,-0.09,0.04,27,41,2,37,132,0.19,0.04,14,45,5,51,279,-0.08,0.09,43,99,23,128
ARG,2023-05-04,Argentina,31,0.07,0.01,6,10,3,3,605,0.1,0.19,80,194,22,108,33,-0.08,0.01,3,13,0,4,246,0.37,0.08,24,73,7,16,0,100,0,0,0,0,0,230,0.03,0.07,53,72,9,51,417,-0.09,0.13,66,159,31,109,151,0.07,0.05,35,53,13,50,33,0.57,0.01,2,7,1,4,192,-0.15,0.06,32,70,10,49,176,-0.11,0.05,33,58,7,57,245,0.07,0.08,23,56,6,47,84,0.15,0.03,6,29,2,25,160,-0.18,0.05,31,57,16,72,35,0.25,0.01,3,8,1,5,134,0.16,0.04,32,46,6,55,160,0.21,0.05,19,48,13,61,289,0.04,0.09,54,107,19,110
ARG,2023-05-05,Argentina,54,0.74,0.02,12,13,1,2,518,-0.14,0.17,84,136,16,87,23,-0.3,0.01,4,8,2,3,191,-0.22,0.06,19,45,7,13,0,100,0,0,0,0,0,220,-0.04,0.07,62,64,10,48,422,0.01,0.14,63,148,32,95,162,0.07,0.05,27,59,12,42,27,-0.18,0.01,1,11,1,5,203,0.06,0.07,20,82,11,76,196,0.11,0.07,40,66,4,53,234,-0.04,0.08,34,61,9,58,84,0,0.03,7,37,7,26,155,-0.03,0.05,33,77,18,67,12,-0.66,0,1,2,1,2,114,-0.15,0.04,24,41,5,32,122,-0.24,0.04,22,47,8,49,254,-0.12,0.08,50,96,23,102
ARG,2023-05-06,Argentina,13,-0.76,0.01,1,5,1,2,285,-0.45,0.15,46,115,13,62,15,-0.35,0.01,3,8,2,6,92,-0.52,0.05,15,28,0,9,0,100,0,0,0,0,0,156,-0.29,0.08,43,60,14,45,284,-0.33,0.15,56,122,18,61,94,-0.42,0.05,10,45,14,26,13,-0.52,0.01,0,5,1,2,223,0.1,0.12,34,72,10,39,122,-0.38,0.06,29,47,12,43,129,-0.45,0.07,19,39,9,39,37,-0.56,0.02,8,11,2,15,134,-0.14,0.07,32,73,17,61,10,-0.17,0.01,1,1,0,0,73,-0.36,0.04,16,35,4,29,62,-0.49,0.03,7,20,4,25,196,-0.23,0.1,32,82,22,90
ARG,2023-05-07,Argentina,16,0.23,0.01,3,7,1,6,269,-0.06,0.14,58,86,10,67,29,0.93,0.01,5,13,1,8,85,-0.08,0.04,12,27,12,9,0,100,0,0,0,0,0,126,-0.19,0.06,37,46,10,33,233,-0.18,0.12,42,104,21,75,178,0.89,0.09,34,78,10,61,11,-0.15,0.01,3,4,0,2,184,-0.17,0.09,22,84,15,56,157,0.29,0.08,27,66,6,46,99,-0.23,0.05,14,27,6,30,52,0.41,0.03,13,21,5,23,122,-0.09,0.06,27,57,20,59,19,0.9,0.01,4,8,1,1,75,0.03,0.04,14,38,3,26,90,0.45,0.05,15,40,8,45,197,0.01,0.1,43,94,17,80
ARG,2023-05-08,Argentina,30,0.88,0.01,9,6,1,3,676,1.51,0.22,99,167,22,92,23,-0.21,0.01,4,8,1,6,146,0.72,0.05,15,33,10,10,0,100,0,0,0,0,0,213,0.69,0.07,56,58,9,45,441,0.89,0.15,56,158,29,138,113,-0.37,0.04,15,45,6,31,23,1.09,0.01,1,7,2,3,206,0.12,0.07,26,70,11,57,189,0.2,0.06,23,58,7,51,204,1.06,0.07,20,57,13,38,80,0.54,0.03,11,32,6,23,167,0.37,0.06,34,65,21,79,18,-0.05,0.01,0,6,0,3,93,0.24,0.03,15,37,7,26,118,0.31,0.04,18,35,2,54,265,0.35,0.09,39,114,25,99
ARG,2023-05-09,Argentina,34,0.13,0.01,4,11,1,7,898,0.33,0.23,123,234,26,117,24,0.04,0.01,5,4,1,0,212,0.45,0.05,22,48,8,12,0,100,0,0,0,0,0,235,0.1,0.06,50,62,11,40,643,0.46,0.17,77,232,52,177,141,0.25,0.04,21,52,10,43,28,0.22,0.01,2,7,0,3,276,0.34,0.07,28,134,11,94,272,0.44,0.07,34,91,22,75,272,0.33,0.07,28,63,14,75,70,-0.12,0.02,8,18,2,19,191,0.14,0.05,36,103,27,94,24,0.33,0.01,3,6,0,1,111,0.19,0.03,26,50,8,36,129,0.09,0.03,24,46,10,59,323,0.22,0.08,60,125,31,121
ARG,2023-05-10,Argentina,29,-0.15,0.01,4,6,1,3,854,-0.05,0.23,116,230,17,81,24,0,0.01,3,7,2,2,246,0.16,0.07,32,47,14,15,0,100,0,0,0,0,0,220,-0.06,0.06,58,63,9,57,499,-0.22,0.13,83,189,35,132,162,0.15,0.04,18,51,6,40,15,-0.46,0,2,5,0,1,249,-0.1,0.07,38,89,15,57,201,-0.26,0.05,32,58,8,67,247,-0.09,0.07,24,84,23,45,82,0.17,0.02,15,38,2,28,150,-0.21,0.04,26,78,17,78,25,0.04,0.01,1,9,0,3,119,0.07,0.03,31,39,5,32,158,0.22,0.04,33,51,14,67,448,0.39,0.12,71,207,29,191
