id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-01-01,Argentina,28,0,0.01,5,8,0,3,56,0,0.03,10,26,2,8,51,0,0.03,4,22,4,24,135,0,0.07,26,47,9,36,51,0,0.03,5,29,6,23,227,0,0.12,52,69,16,70,255,0,0.14,41,77,7,46,84,0,0.04,17,50,6,33,10,0,0.01,3,5,1,6,417,0,0.22,142,142,8,24,115,0,0.06,30,38,8,38,89,0,0.05,25,24,11,28,75,0,0.04,21,25,5,24,71,0,0.04,13,33,4,28,8,0,0,3,2,0,5,47,0,0.03,6,28,7,18,49,0,0.03,9,20,7,18,103,0,0.06,24,45,9,31
ARG,2022-01-02,Argentina,29,0.04,0.01,5,12,0,9,108,0.93,0.05,21,42,14,28,71,0.39,0.03,17,29,17,35,199,0.47,0.09,47,74,20,72,103,1.02,0.05,10,51,11,27,281,0.24,0.12,71,84,20,98,285,0.12,0.13,58,97,20,76,110,0.31,0.05,22,43,19,46,15,0.5,0.01,5,4,1,1,297,-0.29,0.13,84,137,13,48,143,0.24,0.06,26,48,10,56,116,0.3,0.05,21,32,6,26,82,0.09,0.04,28,29,5,29,93,0.31,0.04,14,36,15,42,13,0.63,0.01,3,1,0,6,70,0.49,0.03,20,21,2,26,90,0.84,0.04,16,26,0,19,162,0.57,0.07,21,66,25,64
ARG,2022-01-03,Argentina,36,0.24,0.01,8,7,1,4,153,0.42,0.05,22,32,5,33,60,-0.15,0.02,12,29,8,25,324,0.63,0.1,78,110,27,82,150,0.46,0.04,16,63,20,56,429,0.53,0.13,100,117,40,163,421,0.48,0.13,76,107,28,90,222,1.02,0.07,22,120,33,105,42,1.8,0.01,8,5,3,18,355,0.2,0.11,109,143,17,79,201,0.41,0.06,37,77,14,71,160,0.38,0.05,30,40,14,39,145,0.77,0.04,31,37,8,51,138,0.48,0.04,24,52,12,51,24,0.85,0.01,8,8,1,10,95,0.36,0.03,21,29,10,41,110,0.22,0.03,24,29,5,33,277,0.71,0.08,45,83,28,90
ARG,2022-01-04,Argentina,60,0.67,0.02,6,15,3,10,191,0.25,0.05,31,55,9,37,56,-0.07,0.01,9,20,2,17,269,-0.17,0.07,60,76,20,83,149,-0.01,0.04,16,50,18,53,511,0.19,0.14,122,144,51,218,488,0.16,0.13,83,134,39,134,214,-0.04,0.06,25,126,25,70,37,-0.12,0.01,5,9,2,7,330,-0.07,0.09,54,154,14,57,224,0.11,0.06,46,63,19,76,196,0.23,0.05,29,64,9,51,275,0.9,0.07,98,83,7,27,207,0.5,0.06,47,88,18,71,10,-0.58,0,2,4,1,5,106,0.12,0.03,27,35,8,36,105,-0.05,0.03,26,44,10,35,319,0.15,0.09,43,127,22,110
ARG,2022-01-05,Argentina,46,-0.23,0.01,7,14,0,7,192,0.01,0.05,27,57,10,39,51,-0.09,0.01,9,14,10,21,272,0.01,0.08,42,100,28,94,164,0.1,0.05,28,93,26,69,656,0.28,0.18,172,207,87,307,438,-0.1,0.12,80,111,33,113,162,-0.24,0.04,20,71,23,66,39,0.05,0.01,7,5,1,3,365,0.11,0.1,61,159,14,64,221,-0.01,0.06,39,86,18,94,163,-0.17,0.05,27,40,11,44,127,-0.54,0.04,31,30,6,33,186,-0.1,0.05,27,75,16,70,18,0.8,0,0,9,0,5,111,0.05,0.03,28,27,6,33,84,-0.2,0.02,15,33,2,21,308,-0.03,0.09,42,92,18,89
ARG,2022-01-06,Argentina,57,0.24,0.02,3,9,4,13,160,-0.17,0.05,24,43,5,34,46,-0.1,0.01,14,17,12,29,263,-0.03,0.08,38,89,24,82,210,0.28,0.06,17,98,31,91,541,-0.18,0.16,127,182,52,243,508,0.16,0.15,70,158,37,135,172,0.06,0.05,24,63,19,83,37,-0.05,0.01,4,8,3,6,197,-0.46,0.06,19,79,21,61,192,-0.13,0.06,32,51,13,56,136,-0.17,0.04,22,31,9,34,110,-0.13,0.03,16,38,2,21,185,-0.01,0.06,33,78,25,91,13,-0.28,0,2,5,1,6,90,-0.19,0.03,17,30,5,35,71,-0.15,0.02,14,25,6,31,353,0.15,0.11,64,131,33,119
ARG,2022-01-07,Argentina,71,0.25,0.03,7,17,3,16,185,0.16,0.07,28,56,11,36,36,-0.22,0.01,7,10,5,16,211,-0.2,0.07,27,59,10,50,154,-0.27,0.05,17,68,18,55,435,-0.2,0.15,106,117,50,197,416,-0.18,0.15,57,106,34,118,106,-0.38,0.04,16,49,13,42,30,-0.19,0.01,4,4,1,3,168,-0.15,0.06,20,56,10,58,130,-0.32,0.05,33,42,9,32,143,0.05,0.05,23,33,7,42,93,-0.15,0.03,22,15,0,24,175,-0.05,0.06,41,80,25,74,14,0.08,0,4,2,1,8,82,-0.09,0.03,19,30,7,36,96,0.35,0.03,12,31,6,36,293,-0.17,0.1,44,129,21,99
ARG,2022-01-08,Argentina,9,-0.87,0.01,3,2,2,5,44,-0.76,0.05,11,18,3,8,13,-0.64,0.01,2,5,2,5,51,-0.76,0.06,9,26,9,24,84,-0.45,0.09,8,46,20,48,145,-0.67,0.16,39,36,16,79,86,-0.79,0.1,23,32,5,23,158,0.49,0.18,25,72,29,102,8,-0.73,0.01,0,4,0,2,37,-0.78,0.04,8,15,3,13,36,-0.72,0.04,9,15,2,14,37,-0.74,0.04,7,13,4,9,15,-0.84,0.02,3,3,1,3,29,-0.83,0.03,5,18,5,15,1,-0.93,0,0,1,0,0,20,-0.76,0.02,5,5,1,12,34,-0.65,0.04,9,12,0,17,93,-0.68,0.1,12,35,9,30
BHS,2022-01-01,Bahamas,2,0,0.01,0,2,0,0,10,0,0.05,2,3,1,7,3,0,0.01,0,0,0,2,4,0,0.02,1,1,0,3,3,0,0.01,1,0,0,0,93,0,0.44,26,24,4,42,16,0,0.08,3,6,2,9,4,0,0.02,1,1,0,2,1,0,0,0,0,0,0,22,0,0.1,4,3,1,5,11,0,0.05,2,5,1,8,19,0,0.09,4,2,1,10,0,0,0,0,0,0,0,10,0,0.05,3,5,1,4,3,0,0.01,1,0,0,1,1,0,0,0,1,0,0,5,0,0.02,1,1,1,3,4,0,0.02,0,2,0,4
BHS,2022-01-02,Bahamas,0,-1,0,0,0,0,0,10,0,0.05,4,4,0,2,19,5.33,0.09,6,4,0,1,4,0,0.02,0,2,0,3,3,0,0.01,1,2,0,2,87,-0.06,0.41,18,41,7,40,21,0.31,0.1,7,9,2,6,1,-0.75,0,0,1,1,1,0,-1,0,0,0,0,0,15,-0.32,0.07,4,3,0,3,12,0.09,0.06,2,5,3,8,13,-0.32,0.06,4,6,0,6,1,100,0,0,0,0,1,18,0.8,0.08,3,7,4,8,1,-0.67,0,1,0,0,1,0,-1,0,0,0,0,0,4,-0.2,0.02,2,1,0,1,3,-0.25,0.01,0,1,1,2
BHS,2022-01-03,Bahamas,1,100,0,0,0,0,0,16,0.6,0.06,2,11,1,10,22,0.16,0.08,7,6,2,3,4,0,0.01,1,2,0,2,7,1.33,0.03,1,3,3,5,103,0.18,0.38,30,34,15,53,19,-0.1,0.07,3,5,3,8,5,4,0.02,1,2,1,2,3,100,0.01,2,0,0,2,28,0.87,0.1,7,6,3,6,11,-0.08,0.04,4,4,5,9,21,0.62,0.08,5,7,1,10,0,-1,0,0,0,0,0,15,-0.17,0.05,5,4,1,7,0,-1,0,0,0,0,0,3,100,0.01,1,2,1,2,10,1.5,0.04,0,3,0,7,5,0.67,0.02,1,1,1,2
BHS,2022-01-04,Bahamas,4,3,0.01,1,1,0,1,15,-0.06,0.05,4,6,0,6,2,-0.91,0.01,2,0,0,2,7,0.75,0.02,3,2,0,2,7,0,0.02,3,2,1,4,153,0.49,0.52,43,55,15,91,23,0.21,0.08,7,6,2,9,3,-0.4,0.01,1,1,0,1,1,-0.67,0,0,0,0,0,11,-0.61,0.04,4,4,2,4,15,0.36,0.05,4,6,4,10,14,-0.33,0.05,7,1,1,6,4,100,0.01,1,2,1,4,19,0.27,0.06,5,3,2,5,2,100,0.01,0,0,0,2,0,-1,0,0,0,0,0,8,-0.2,0.03,2,3,0,6,9,0.8,0.03,1,1,2,4
