id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-13,docs-delta-percent-13,docs-percent-13
ARG,2020-04-03,Argentina,62,-35.4,2.5,85,-24.1,3.5,259,0.8,10.6,339,31.9,13.8,959,-21.3,39.1,189,-3.1,7.7,44,-37.1,1.8,21,-30.0,0.9,142,82.1,5.8,128,236.8,5.2,6,-68.4,0.2,201,-16.2,8.2,16,-20.0,0.7
ARG,2020-04-04,Argentina,76,22.6,2.7,111,30.6,3.9,291,12.4,10.3,375,10.6,13.3,1035,7.9,36.7,262,38.6,9.3,67,52.3,2.4,37,76.2,1.3,173,21.8,6.1,135,5.5,4.8,21,250.0,0.7,213,6.0,7.6,23,43.8,0.8
ARG,2020-04-05,Argentina,49,-35.5,3.8,51,-54.1,4.0,129,-55.7,10.0,136,-63.7,10.6,506,-51.1,39.4,122,-53.4,9.5,34,-49.3,2.6,16,-56.8,1.2,57,-67.1,4.4,24,-82.2,1.9,17,-19.0,1.3,130,-39.0,10.1,13,-43.5,1.0
ARG,2020-04-06,Argentina,81,65.3,3.7,196,284.3,8.9,210,62.8,9.6,276,102.9,12.6,784,54.9,35.7,171,40.2,7.8,77,126.5,3.5,25,56.2,1.1,89,56.1,4.1,47,95.8,2.1,27,58.8,1.2,193,48.5,8.8,19,46.2,0.9
ARG,2020-04-07,Argentina,72,-11.1,2.7,186,-5.1,6.9,277,31.9,10.3,280,1.4,10.4,1145,46.0,42.4,231,35.1,8.6,100,29.9,3.7,45,80.0,1.7,93,4.5,3.4,43,-8.5,1.6,20,-25.9,0.7,194,0.5,7.2,14,-26.3,0.5
ARG,2020-04-08,Argentina,48,-33.3,2.6,110,-40.9,6.0,178,-35.7,9.7,210,-25.0,11.4,785,-31.4,42.7,141,-39.0,7.7,60,-40.0,3.3,29,-35.6,1.6,63,-32.3,3.4,30,-30.2,1.6,18,-10.0,1.0,157,-19.1,8.5,10,-28.6,0.5
ARG,2020-04-09,Argentina,86,79.2,3.8,114,3.6,5.0,294,65.2,12.9,304,44.8,13.3,795,1.3,34.8,224,58.9,9.8,61,1.7,2.7,39,34.5,1.7,111,76.2,4.9,42,40.0,1.8,14,-22.2,0.6,187,19.1,8.2,11,10.0,0.5
ARG,2020-04-10,Argentina,52,-39.5,3.5,83,-27.2,5.6,137,-53.4,9.2,184,-39.5,12.3,548,-31.1,36.8,145,-35.3,9.7,54,-11.5,3.6,22,-43.6,1.5,64,-42.3,4.3,44,4.8,3.0,16,14.3,1.1,134,-28.3,9.0,8,-27.3,0.5
ARG,2020-04-11,Argentina,73,40.4,4.2,84,1.2,4.8,183,33.6,10.5,236,28.3,13.5,651,18.8,37.3,170,17.2,9.7,49,-9.3,2.8,32,45.5,1.8,82,28.1,4.7,25,-43.2,1.4,14,-12.5,0.8,132,-1.5,7.6,16,100.0,0.9
ARG,2020-04-12,Argentina,34,-53.4,2.3,63,-25.0,4.2,176,-3.8,11.8,201,-14.8,13.5,603,-7.4,40.6,116,-31.8,7.8,39,-20.4,2.6,12,-62.5,0.8,64,-22.0,4.3,33,32.0,2.2,7,-50.0,0.5,124,-6.1,8.3,14,-12.5,0.9
