id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
HND,2023-01-05,Honduras,6,-0.45,0.01,0,1,0,1,120,0.2,0.12,16,28,6,28,6,100,0.01,0,2,0,1,5,-0.29,0,0,3,1,2,0,100,0,0,0,0,0,142,0.08,0.14,21,21,9,30,83,0.11,0.08,6,33,10,25,38,0.36,0.04,2,9,3,8,3,-0.4,0,1,0,0,1,37,-0.12,0.04,3,12,1,4,109,0.3,0.11,5,36,6,48,38,-0.21,0.04,1,1,0,7,19,-0.3,0.02,1,4,2,0,44,0.42,0.04,3,17,3,18,18,-0.42,0.02,0,1,0,1,16,-0.24,0.02,2,9,1,8,99,-0.06,0.1,5,17,3,33,230,-0.03,0.23,16,53,9,55
HND,2023-01-06,Honduras,5,-0.17,0,0,1,0,0,98,-0.18,0.09,16,37,5,32,3,-0.5,0,0,1,0,0,17,2.4,0.02,1,4,0,7,0,100,0,0,0,0,0,139,-0.02,0.13,11,26,6,30,208,1.51,0.19,25,65,9,80,34,-0.11,0.03,2,14,4,18,1,-0.67,0,0,0,0,0,30,-0.19,0.03,3,13,2,8,56,-0.49,0.05,3,7,2,14,22,-0.42,0.02,0,3,1,4,42,1.21,0.04,4,7,2,13,44,0,0.04,1,10,3,9,18,0,0.02,2,2,1,2,15,-0.06,0.01,5,5,0,4,112,0.13,0.1,3,17,1,24,242,0.05,0.22,23,72,12,83
HND,2023-01-07,Honduras,4,-0.2,0.01,2,1,0,2,65,-0.34,0.09,8,31,8,16,1,-0.67,0,0,0,0,0,3,-0.82,0,0,1,0,1,0,100,0,0,0,0,0,90,-0.35,0.13,9,19,6,14,82,-0.61,0.12,9,26,8,29,18,-0.47,0.03,2,4,1,4,3,2,0,0,0,0,1,21,-0.3,0.03,2,10,0,8,81,0.45,0.12,7,21,5,34,10,-0.55,0.01,0,0,0,2,13,-0.69,0.02,2,1,1,0,34,-0.23,0.05,5,11,0,8,15,-0.17,0.02,0,2,0,0,16,0.07,0.02,1,5,0,2,86,-0.23,0.12,2,16,3,30,160,-0.34,0.23,13,37,5,54
HND,2023-01-08,Honduras,2,-0.5,0,0,1,0,0,44,-0.32,0.09,3,16,1,5,7,6,0.01,1,2,0,0,9,2,0.02,3,1,1,2,0,100,0,0,0,0,0,41,-0.54,0.08,7,12,2,5,26,-0.68,0.05,1,11,1,8,11,-0.39,0.02,2,4,0,5,1,-0.67,0,0,0,0,0,15,-0.29,0.03,1,4,0,3,45,-0.44,0.09,4,8,0,8,8,-0.2,0.02,1,0,0,2,23,0.77,0.04,1,1,0,2,24,-0.29,0.05,3,6,1,4,18,0.2,0.03,0,4,2,0,7,-0.56,0.01,0,4,1,0,116,0.35,0.22,3,11,0,26,119,-0.26,0.23,10,44,8,32
HND,2023-01-09,Honduras,8,3,0.01,1,1,0,1,88,1,0.09,12,36,6,25,10,0.43,0.01,0,2,0,4,13,0.44,0.01,1,5,2,1,0,100,0,0,0,0,0,85,1.07,0.09,7,33,2,23,77,1.96,0.08,6,21,6,15,18,0.64,0.02,4,7,1,6,1,0,0,1,0,0,0,38,1.53,0.04,2,13,0,6,59,0.31,0.06,2,7,2,8,20,1.5,0.02,0,1,0,3,27,0.17,0.03,1,6,1,8,46,0.92,0.05,3,14,3,9,37,1.06,0.04,1,8,1,2,13,0.86,0.01,3,3,0,4,142,0.22,0.15,9,18,7,34,260,1.18,0.28,15,52,8,52
JAM,2023-01-01,Jamaica,2,0,0,1,0,0,0,35,0,0.09,10,12,2,3,11,0,0.03,0,4,2,2,16,0,0.04,2,12,0,1,0,0,0,0,0,0,0,67,0,0.17,12,27,3,3,35,0,0.09,9,10,4,7,8,0,0.02,1,6,3,1,5,0,0.01,2,2,0,1,31,0,0.08,2,11,2,5,39,0,0.1,13,4,3,6,45,0,0.11,8,16,2,8,8,0,0.02,0,5,0,2,25,0,0.06,6,12,2,5,6,0,0.01,0,1,0,1,7,0,0.02,0,2,0,1,54,0,0.13,6,14,2,17,12,0,0.03,0,8,1,6
JAM,2023-01-02,Jamaica,8,3,0.02,0,2,0,2,27,-0.23,0.07,2,12,1,3,16,0.45,0.04,3,8,0,2,2,-0.87,0,1,1,0,0,0,100,0,0,0,0,0,69,0.03,0.17,13,19,4,8,30,-0.14,0.07,6,8,2,5,16,1,0.04,3,8,1,3,4,-0.2,0.01,0,2,0,3,29,-0.06,0.07,5,7,1,6,39,0,0.1,3,12,3,4,44,-0.02,0.11,5,16,3,8,5,-0.37,0.01,1,2,0,1,33,0.32,0.08,5,13,5,6,2,-0.67,0,0,0,0,0,14,1,0.03,3,2,0,1,56,0.04,0.14,7,32,3,22,10,-0.17,0.02,1,4,0,3
JAM,2023-01-03,Jamaica,13,0.63,0.03,3,1,1,1,39,0.44,0.08,2,11,1,8,15,-0.06,0.03,3,4,1,5,5,1.5,0.01,1,2,0,2,0,100,0,0,0,0,0,75,0.09,0.15,14,15,8,15,29,-0.03,0.06,4,7,8,9,18,0.13,0.04,2,8,3,5,3,-0.25,0.01,0,0,0,0,35,0.21,0.07,5,4,2,4,46,0.18,0.09,8,17,4,12,46,0.05,0.09,5,14,2,5,6,0.2,0.01,2,1,1,1,46,0.39,0.09,1,13,2,14,6,2,0.01,0,3,0,0,12,-0.14,0.02,4,2,1,3,69,0.23,0.14,5,16,5,19,25,1.5,0.05,4,7,4,7
JAM,2023-01-04,Jamaica,10,-0.23,0.01,0,3,0,0,56,0.44,0.08,11,13,6,6,19,0.27,0.03,1,6,1,2,18,2.6,0.02,3,7,4,0,0,100,0,0,0,0,0,101,0.35,0.14,16,39,12,17,66,1.28,0.09,13,23,8,11,24,0.33,0.03,5,7,4,7,7,1.33,0.01,3,1,0,1,53,0.51,0.07,3,12,2,14,84,0.83,0.11,18,23,5,34,62,0.35,0.08,12,19,6,6,10,0.67,0.01,3,1,2,4,70,0.52,0.1,25,17,10,28,5,-0.17,0.01,3,0,0,0,21,0.75,0.03,6,3,2,4,108,0.57,0.15,16,26,6,32,22,-0.12,0.03,6,7,3,8
JAM,2023-01-05,Jamaica,7,-0.3,0.01,3,2,0,1,97,0.73,0.14,18,24,5,9,17,-0.11,0.02,3,4,1,3,8,-0.56,0.01,1,1,0,1,0,100,0,0,0,0,0,192,0.9,0.27,64,57,30,32,54,-0.18,0.08,7,21,1,12,9,-0.62,0.01,3,2,0,1,3,-0.57,0,1,1,0,0,46,-0.13,0.06,2,11,0,5,69,-0.18,0.1,13,21,8,25,39,-0.37,0.05,4,12,3,8,8,-0.2,0.01,1,2,1,2,39,-0.44,0.05,6,10,4,12,4,-0.2,0.01,1,0,0,0,13,-0.38,0.02,4,3,0,6,88,-0.19,0.12,11,25,6,33,23,0.05,0.03,4,9,4,3
