id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13,docs-14,docs-delta-docs-percent-14,docs-percent-14
ARG,2021-04-01,Argentina,457,0,14.0,185,0,5.7,362,0,11.1,49,0,1.5,1401,0,42.8,199,0,6.1,94,0,2.9,103,0,3.1,136,0,4.2,63,0,1.9,62,0,1.9,23,0,0.7,117,0,3.6,20,0,0.6
ARG,2021-04-02,Argentina,272,-40.5,12.9,140,-24.3,6.7,160,-55.8,7.6,15,-69.4,0.7,1024,-26.9,48.7,101,-49.2,4.8,69,-26.6,3.3,72,-30.1,3.4,57,-58.1,2.7,40,-36.5,1.9,29,-53.2,1.4,15,-34.8,0.7,90,-23.1,4.3,18,-10.0,0.9
ARG,2021-04-03,Argentina,324,19.1,8.0,184,31.4,4.5,84,-47.5,2.1,16,6.7,0.4,2678,161.5,65.9,246,143.6,6.1,73,5.8,1.8,75,4.2,1.8,63,10.5,1.5,38,-5.0,0.9,49,69.0,1.2,15,0.0,0.4,123,36.7,3.0,98,444.4,2.4
ARG,2021-04-04,Argentina,350,8.0,16.5,99,-46.2,4.7,115,36.9,5.4,17,6.2,0.8,1005,-62.5,47.4,135,-45.1,6.4,80,9.6,3.8,66,-12.0,3.1,65,3.2,3.1,41,7.9,1.9,29,-40.8,1.4,10,-33.3,0.5,85,-30.9,4.0,22,-77.6,1.0
ARG,2021-04-05,Argentina,568,62.3,16.1,130,31.3,3.7,173,50.4,4.9,33,94.1,0.9,1662,65.4,47.1,179,32.6,5.1,164,105.0,4.6,140,112.1,4.0,158,143.1,4.5,62,51.2,1.8,55,89.7,1.6,23,130.0,0.7,146,71.8,4.1,34,54.5,1.0
ARG,2021-04-06,Argentina,885,55.8,18.8,257,97.7,5.5,269,55.5,5.7,61,84.8,1.3,1902,14.4,40.4,249,39.1,5.3,242,47.6,5.1,179,27.9,3.8,256,62.0,5.4,90,45.2,1.9,74,34.5,1.6,28,21.7,0.6,190,30.1,4.0,28,-17.6,0.6
ARG,2021-04-07,Argentina,1410,59.3,21.4,329,28.0,5.0,297,10.4,4.5,73,19.7,1.1,2707,42.3,41.2,388,55.8,5.9,305,26.0,4.6,185,3.4,2.8,264,3.1,4.0,147,63.3,2.2,127,71.6,1.9,45,60.7,0.7,261,37.4,4.0,37,32.1,0.6
ARG,2021-04-08,Argentina,1518,7.7,25.6,346,5.2,5.8,292,-1.7,4.9,59,-19.2,1.0,2009,-25.8,33.9,345,-11.1,5.8,335,9.8,5.7,143,-22.7,2.4,255,-3.4,4.3,150,2.0,2.5,113,-11.0,1.9,48,6.7,0.8,255,-2.3,4.3,59,59.5,1.0
ARG,2021-04-09,Argentina,705,-53.6,19.0,222,-35.8,6.0,217,-25.7,5.8,57,-3.4,1.5,1495,-25.6,40.2,225,-34.8,6.1,152,-54.6,4.1,131,-8.4,3.5,125,-51.0,3.4,84,-44.0,2.3,53,-53.1,1.4,39,-18.8,1.0,170,-33.3,4.6,40,-32.2,1.1
ARG,2021-04-10,Argentina,427,-39.4,15.7,132,-40.5,4.9,128,-41.0,4.7,28,-50.9,1.0,1203,-19.5,44.2,178,-20.9,6.5,111,-27.0,4.1,122,-6.9,4.5,89,-28.8,3.3,48,-42.9,1.8,45,-15.1,1.7,34,-12.8,1.3,152,-10.6,5.6,22,-45.0,0.8
