id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-09-01,Argentina,15,0,0.03,3,4,0,4,96,0,0.16,24,29,3,17,6,0,0.01,2,3,2,3,30,0,0.05,7,9,2,4,0,0,0,0,0,0,0,52,0,0.09,16,16,5,20,74,0,0.12,19,32,2,23,27,0,0.05,7,8,5,11,3,0,0.01,0,1,0,0,37,0,0.06,8,14,4,14,48,0,0.08,8,18,1,22,30,0,0.05,4,8,4,4,15,0,0.03,2,4,1,4,56,0,0.09,21,25,2,34,2,0,0,0,0,0,0,18,0,0.03,7,8,0,6,21,0,0.04,9,7,1,14,63,0,0.11,19,27,3,28
BHS,2022-09-01,Bahamas,2,0,0.04,0,2,0,0,8,0,0.18,3,0,1,0,0,0,0,0,0,0,0,2,0,0.04,0,2,1,0,0,0,0,0,0,0,0,4,0,0.09,2,0,0,1,1,0,0.02,0,0,0,0,1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,6,0,0.13,0,6,2,2,1,0,0.02,0,1,0,0,5,0,0.11,3,1,0,0,1,0,0.02,1,0,0,0,9,0,0.2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.09,0,2,0,1,1,0,0.02,0,1,1,0
BRB,2022-09-01,Barbados,0,0,0,0,0,0,0,1,0,0.03,1,0,0,0,1,0,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.11,3,0,0,0,5,0,0.13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.18,0,2,1,0,0,0,0,0,0,0,0,4,0,0.11,1,3,1,2,1,0,0.03,1,0,0,1,7,0,0.18,2,1,0,3,1,0,0.03,1,0,0,1,1,0,0.03,1,0,1,0,4,0,0.11,1,1,0,0,2,0,0.05,1,0,1,1
BLZ,2022-09-01,Belice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,2022-09-01,Bolivia,1,0,0.01,0,0,0,0,19,0,0.14,3,3,0,4,1,0,0.01,0,0,0,0,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,15,0,0.11,3,1,0,4,17,0,0.12,1,6,0,3,6,0,0.04,1,0,0,0,0,0,0,0,0,0,0,8,0,0.06,1,2,0,1,12,0,0.09,1,1,1,2,13,0,0.09,0,2,0,2,5,0,0.04,0,0,0,0,3,0,0.02,0,3,0,1,1,0,0.01,0,1,0,0,9,0,0.06,8,1,0,7,7,0,0.05,1,5,0,1,21,0,0.15,2,9,1,6
BRA,2022-09-01,Brasil,34,0,0.01,7,16,2,9,218,0,0.08,88,112,12,66,25,0,0.01,12,9,0,9,57,0,0.02,14,19,0,13,0,0,0,0,0,0,0,367,0,0.14,232,115,5,43,897,0,0.34,383,422,29,226,70,0,0.03,11,45,6,31,5,0,0,1,2,0,2,59,0,0.02,19,31,2,21,142,0,0.05,37,76,4,56,599,0,0.23,161,316,25,159,18,0,0.01,4,12,2,8,98,0,0.04,28,54,1,50,2,0,0,0,2,0,1,39,0,0.01,15,19,2,12,23,0,0.01,7,13,3,12,5,0,0,0,4,0,3
CHL,2022-09-01,Chile,3,0,0.01,1,2,1,2,63,0,0.16,16,18,5,7,10,0,0.02,1,6,0,3,32,0,0.08,11,14,5,5,0,0,0,0,0,0,0,32,0,0.08,12,10,3,9,27,0,0.07,2,13,3,8,36,0,0.09,10,23,7,18,2,0,0,0,0,0,0,21,0,0.05,3,11,6,5,31,0,0.08,9,14,5,11,22,0,0.05,6,9,1,5,11,0,0.03,3,5,1,2,23,0,0.06,7,10,3,9,6,0,0.01,1,4,1,3,9,0,0.02,3,2,0,4,25,0,0.06,5,16,1,16,48,0,0.12,10,29,4,21
COL,2022-09-01,Colombia,6,0,0.01,1,3,0,4,81,0,0.11,14,34,2,18,3,0,0,2,1,1,0,48,0,0.07,8,13,2,10,0,0,0,0,0,0,0,47,0,0.06,18,13,2,14,147,0,0.2,27,61,11,30,50,0,0.07,10,24,4,19,6,0,0.01,1,3,0,1,42,0,0.06,6,17,4,9,73,0,0.1,9,28,4,35,31,0,0.04,6,7,1,9,27,0,0.04,5,7,1,6,27,0,0.04,6,14,5,12,18,0,0.02,2,3,0,4,12,0,0.02,2,6,0,3,43,0,0.06,7,19,4,20,72,0,0.1,10,27,10,20
CRI,2022-09-01,Costa Rica,0,0,0,0,0,0,0,142,0,0.48,30,77,14,41,1,0,0,0,1,0,0,5,0,0.02,1,2,0,3,0,0,0,0,0,0,0,20,0,0.07,6,9,2,6,9,0,0.03,4,1,0,4,5,0,0.02,1,4,0,1,5,0,0.02,0,2,0,0,18,0,0.06,4,6,1,3,20,0,0.07,2,13,2,10,14,0,0.05,0,3,1,1,4,0,0.01,1,3,1,1,8,0,0.03,2,3,0,2,2,0,0.01,0,1,1,0,8,0,0.03,3,4,0,3,7,0,0.02,1,3,1,5,25,0,0.09,4,13,3,9
ECU,2022-09-01,Ecuador,6,0,0.01,0,0,0,0,37,0,0.08,4,13,3,6,6,0,0.01,0,2,0,1,20,0,0.04,0,6,1,2,0,0,0,0,0,0,0,43,0,0.09,15,15,2,22,31,0,0.07,8,14,2,12,23,0,0.05,6,7,2,14,2,0,0,0,1,0,1,18,0,0.04,7,8,2,8,28,0,0.06,2,4,0,4,22,0,0.05,5,8,0,7,12,0,0.03,5,3,0,5,17,0,0.04,3,11,2,12,5,0,0.01,3,1,0,2,4,0,0.01,1,2,0,1,53,0,0.12,10,28,4,25,130,0,0.28,19,59,5,66
