id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13
ARG,2020-03-15,Argentina,184,0,5.5,285,0,8.5,262,0,7.8,334,0,10.0,646,0,19.3,622,0,18.6,133,0,4.0,165,0,4.9,197,0,5.9,86,0,2.6,22,0,0.7,346,0,10.3,61,0,1.8
ARG,2020-03-16,Argentina,196,6.5,4.1,402,41.1,8.3,354,35.1,7.3,571,71.0,11.8,920,42.4,19.0,853,37.1,17.6,368,176.7,7.6,188,13.9,3.9,239,21.3,4.9,102,18.6,2.1,40,81.8,0.8,550,59.0,11.4,55,-9.8,1.1
ARG,2020-03-17,Argentina,277,41.3,5.2,343,-14.7,6.4,516,45.8,9.7,629,10.2,11.8,1150,25.0,21.5,849,-0.5,15.9,468,27.2,8.8,144,-23.4,2.7,219,-8.4,4.1,90,-11.8,1.7,58,45.0,1.1,550,0.0,10.3,47,-14.5,0.9
ARG,2020-03-18,Argentina,79,-71.5,4.4,91,-73.5,5.1,178,-65.5,10.0,218,-65.3,12.2,444,-61.4,24.8,278,-67.3,15.6,123,-73.7,6.9,48,-66.7,2.7,120,-45.2,6.7,22,-75.6,1.2,31,-46.6,1.7,141,-74.4,7.9,14,-70.2,0.8
ARG,2020-03-19,Argentina,79,0.0,6.7,59,-35.2,5.0,91,-48.9,7.8,102,-53.2,8.7,272,-38.7,23.2,192,-30.9,16.4,63,-48.8,5.4,27,-43.8,2.3,123,2.5,10.5,26,18.2,2.2,17,-45.2,1.4,106,-24.8,9.0,17,21.4,1.4
ARG,2020-03-20,Argentina,206,160.8,10.8,104,76.3,5.5,180,97.8,9.4,151,48.0,7.9,455,67.3,23.9,239,24.5,12.5,76,20.6,4.0,39,44.4,2.0,174,41.5,9.1,42,61.5,2.2,17,0.0,0.9,202,90.6,10.6,21,23.5,1.1
ARG,2020-03-21,Argentina,148,-28.2,10.0,75,-27.9,5.1,102,-43.3,6.9,90,-40.4,6.1,379,-16.7,25.6,245,2.5,16.6,61,-19.7,4.1,20,-48.7,1.4,112,-35.6,7.6,60,42.9,4.1,25,47.1,1.7,148,-26.7,10.0,14,-33.3,0.9
ARG,2020-03-22,Argentina,119,-19.6,9.3,59,-21.3,4.6,95,-6.9,7.5,102,13.3,8.0,327,-13.7,25.7,176,-28.2,13.8,44,-27.9,3.5,17,-15.0,1.3,100,-10.7,7.8,32,-46.7,2.5,16,-36.0,1.3,169,14.2,13.3,18,28.6,1.4
ARG,2020-03-23,Argentina,105,-11.8,7.0,73,23.7,4.8,152,60.0,10.1,115,12.7,7.6,409,25.1,27.1,192,9.1,12.7,45,2.3,3.0,26,52.9,1.7,120,20.0,8.0,54,68.8,3.6,23,43.8,1.5,179,5.9,11.9,14,-22.2,0.9
ARG,2020-03-24,Argentina,79,-24.8,9.0,50,-31.5,5.7,85,-44.1,9.7,91,-20.9,10.4,226,-44.7,25.7,106,-44.8,12.1,21,-53.3,2.4,6,-76.9,0.7,88,-26.7,10.0,26,-51.9,3.0,11,-52.2,1.3,84,-53.1,9.6,5,-64.3,0.6
ARG,2020-03-25,Argentina,280,254.4,6.9,257,414.0,6.4,371,336.5,9.2,443,386.8,11.0,1218,438.9,30.2,444,318.9,11.0,137,552.4,3.4,79,1216.7,2.0,213,142.0,5.3,91,250.0,2.3,56,409.1,1.4,413,391.7,10.2,29,480.0,0.7
ARG,2020-03-26,Argentina,247,-11.8,6.0,209,-18.7,5.1,384,3.5,9.3,588,32.7,14.3,1246,2.3,30.3,488,9.9,11.9,131,-4.4,3.2,44,-44.3,1.1,171,-19.7,4.2,66,-27.5,1.6,49,-12.5,1.2,467,13.1,11.4,17,-41.4,0.4
ARG,2020-03-27,Argentina,222,-10.1,5.3,233,11.5,5.5,408,6.2,9.7,676,15.0,16.1,1287,3.3,30.6,373,-23.6,8.9,119,-9.2,2.8,78,77.3,1.9,205,19.9,4.9,83,25.8,2.0,51,4.1,1.2,435,-6.9,10.3,36,111.8,0.9
ARG,2020-03-28,Argentina,184,-17.1,5.1,229,-1.7,6.4,386,-5.4,10.7,546,-19.2,15.2,1043,-19.0,29.0,356,-4.6,9.9,124,4.2,3.4,46,-41.0,1.3,167,-18.5,4.6,64,-22.9,1.8,61,19.6,1.7,365,-16.1,10.1,27,-25.0,0.8
ARG,2020-03-29,Argentina,183,-0.5,4.6,216,-5.7,5.4,477,23.6,12.0,694,27.1,17.4,1099,5.4,27.6,410,15.2,10.3,160,29.0,4.0,37,-19.6,0.9,171,2.4,4.3,73,14.1,1.8,50,-18.0,1.3,379,3.8,9.5,29,7.4,0.7
ARG,2020-03-30,Argentina,179,-2.2,3.5,291,34.7,5.7,801,67.9,15.6,1070,54.2,20.9,1212,10.3,23.6,486,18.5,9.5,190,18.8,3.7,45,21.6,0.9,189,10.5,3.7,87,19.2,1.7,36,-28.0,0.7,501,32.2,9.8,39,34.5,0.8
ARG,2020-03-31,Argentina,113,-36.9,4.5,149,-48.8,5.9,454,-43.3,18.1,438,-59.1,17.5,623,-48.6,24.8,200,-58.8,8.0,104,-45.3,4.1,29,-35.6,1.2,77,-59.3,3.1,42,-51.7,1.7,21,-41.7,0.8,239,-52.3,9.5,21,-46.2,0.8
BHS,2020-03-15,Bahamas,4,0,1.8,2,0,0.9,8,0,3.7,9,0,4.1,95,0,43.6,47,0,21.6,3,0,1.4,10,0,4.6,13,0,6.0,7,0,3.2,3,0,1.4,9,0,4.1,8,0,3.7
BHS,2020-03-16,Bahamas,3,-25.0,1.3,9,350.0,3.8,4,-50.0,1.7,20,122.2,8.5,101,6.3,42.8,46,-2.1,19.5,4,33.3,1.7,12,20.0,5.1,16,23.1,6.8,2,-71.4,0.8,2,-33.3,0.8,8,-11.1,3.4,9,12.5,3.8
BHS,2020-03-17,Bahamas,6,100.0,2.8,2,-77.8,0.9,8,100.0,3.8,16,-20.0,7.5,94,-6.9,44.3,34,-26.1,16.0,6,50.0,2.8,7,-41.7,3.3,12,-25.0,5.7,5,150.0,2.4,9,350.0,4.2,7,-12.5,3.3,6,-33.3,2.8
BHS,2020-03-18,Bahamas,18,200.0,6.6,9,350.0,3.3,5,-37.5,1.8,27,68.8,9.9,112,19.1,40.9,40,17.6,14.6,3,-50.0,1.1,15,114.3,5.5,11,-8.3,4.0,3,-40.0,1.1,6,-33.3,2.2,8,14.3,2.9,17,183.3,6.2
BHS,2020-03-19,Bahamas,19,5.6,9.0,4,-55.6,1.9,3,-40.0,1.4,19,-29.6,9.0,86,-23.2,41.0,42,5.0,20.0,2,-33.3,1.0,3,-80.0,1.4,9,-18.2,4.3,6,100.0,2.9,3,-50.0,1.4,4,-50.0,1.9,10,-41.2,4.8
BHS,2020-03-20,Bahamas,18,-5.3,8.2,7,75.0,3.2,5,66.7,2.3,21,10.5,9.5,75,-12.8,34.1,56,33.3,25.5,5,150.0,2.3,0,-100.0,0,9,0.0,4.1,3,-50.0,1.4,5,66.7,2.3,7,75.0,3.2,9,-10.0,4.1
