id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14
ARG,2021-07-01,Argentina,344,0,0.13,37,49,25,125,127,0,0.05,17,21,1,29,121,0,0.05,13,19,7,46,47,0,0.02,0,0,2,16,1431,0,0.54,144,155,55,396,98,0,0.04,16,11,6,33,44,0,0.02,0,0,2,14,82,0,0.03,0,0,1,28,107,0,0.04,0,0,2,33,43,0,0.02,0,0,4,11,44,0,0.02,0,0,2,21,22,0,0.01,0,0,0,2,110,0,0.04,10,13,3,30,24,0,0.01,0,0,3,7
ARG,2021-07-02,Argentina,307,-0.11,0.13,0,0,0,0,105,-0.17,0.04,0,0,0,0,101,-0.17,0.04,0,0,0,0,26,-0.45,0.01,0,0,0,0,1362,-0.05,0.56,0,0,0,0,73,-0.26,0.03,0,0,0,0,52,0.18,0.02,0,0,0,0,47,-0.43,0.02,0,0,0,0,76,-0.29,0.03,0,0,0,0,40,-0.07,0.02,0,0,0,0,46,0.05,0.02,0,0,0,0,18,-0.18,0.01,0,0,0,0,167,0.52,0.07,0,0,0,0,17,-0.29,0.01,0,0,0,0
ARG,2021-07-03,Argentina,175,-0.43,0.11,0,0,0,0,77,-0.27,0.05,0,0,0,0,67,-0.34,0.04,0,0,0,0,9,-0.65,0.01,0,0,0,0,800,-0.41,0.53,0,0,0,0,41,-0.44,0.03,0,0,0,0,34,-0.35,0.02,0,0,0,0,82,0.74,0.05,0,0,0,0,40,-0.47,0.03,0,0,0,0,18,-0.55,0.01,0,0,0,0,23,-0.5,0.02,0,0,0,0,15,-0.17,0.01,0,0,0,0,123,-0.26,0.08,0,0,0,0,18,0.06,0.01,0,0,0,0
ARG,2021-07-04,Argentina,122,-0.3,0.1,0,0,0,0,52,-0.32,0.04,0,0,0,0,57,-0.15,0.05,0,0,0,0,7,-0.22,0.01,0,0,0,0,663,-0.17,0.56,0,0,0,0,53,0.29,0.04,0,0,0,0,25,-0.26,0.02,0,0,0,0,44,-0.46,0.04,0,0,0,0,28,-0.3,0.02,0,0,0,0,28,0.56,0.02,0,0,0,0,13,-0.43,0.01,0,0,0,0,15,0,0.01,0,0,0,0,60,-0.51,0.05,0,0,0,0,16,-0.11,0.01,0,0,0,0
ARG,2021-07-05,Argentina,299,1.45,0.15,0,0,0,0,80,0.54,0.04,0,0,0,0,62,0.09,0.03,0,0,0,0,13,0.86,0.01,0,0,0,0,1104,0.67,0.54,0,0,0,0,116,1.19,0.06,0,0,0,0,33,0.32,0.02,0,0,0,0,49,0.11,0.02,0,0,0,0,69,1.46,0.03,0,0,0,0,42,0.5,0.02,0,0,0,0,28,1.15,0.01,0,0,0,0,10,-0.33,0,0,0,0,0,102,0.7,0.05,0,0,0,0,22,0.38,0.01,0,0,0,0
ARG,2021-07-06,Argentina,199,-0.33,0.09,0,0,0,0,86,0.08,0.04,0,0,0,0,97,0.56,0.04,0,0,0,0,27,1.08,0.01,0,0,0,0,1253,0.13,0.58,0,0,0,0,112,-0.03,0.05,0,0,0,0,38,0.15,0.02,0,0,0,0,73,0.49,0.03,0,0,0,0,73,0.06,0.03,0,0,0,0,35,-0.17,0.02,0,0,0,0,37,0.32,0.02,0,0,0,0,9,-0.1,0,0,0,0,0,123,0.21,0.06,0,0,0,0,15,-0.32,0.01,0,0,0,0
ARG,2021-07-07,Argentina,155,-0.22,0.09,0,0,0,0,86,0,0.05,0,0,0,0,70,-0.28,0.04,0,0,0,0,16,-0.41,0.01,0,0,0,0,1055,-0.16,0.59,0,0,0,0,86,-0.23,0.05,0,0,0,0,25,-0.34,0.01,0,0,0,0,66,-0.1,0.04,0,0,0,0,48,-0.34,0.03,0,0,0,0,27,-0.23,0.01,0,0,0,0,26,-0.3,0.01,0,0,0,0,28,2.11,0.02,0,0,0,0,109,-0.11,0.06,0,0,0,0,6,-0.6,0,0,0,0,0
ARG,2021-07-08,Argentina,190,0.23,0.09,0,0,0,0,62,-0.28,0.03,0,0,0,0,90,0.29,0.04,0,0,0,0,20,0.25,0.01,0,0,0,0,1206,0.14,0.58,0,0,0,0,80,-0.07,0.04,0,0,0,0,48,0.92,0.02,0,0,0,0,72,0.09,0.03,0,0,0,0,39,-0.19,0.02,0,0,0,0,31,0.15,0.01,0,0,0,0,41,0.58,0.02,0,0,0,0,26,-0.07,0.01,0,0,0,0,174,0.6,0.08,0,0,0,0,9,0.5,0,0,0,0,0
ARG,2021-07-09,Argentina,202,0.06,0.13,20,14,5,46,102,0.65,0.07,0,0,3,20,86,-0.04,0.06,0,0,3,25,4,-0.8,0,0,0,0,1,828,-0.31,0.54,65,78,21,139,53,-0.34,0.03,0,0,1,11,41,-0.15,0.03,0,0,0,7,32,-0.56,0.02,0,0,0,3,27,-0.31,0.02,0,0,0,3,14,-0.55,0.01,0,0,0,2,28,-0.32,0.02,0,0,1,13,8,-0.69,0.01,0,0,0,0,106,-0.39,0.07,0,0,0,8,16,0.78,0.01,0,0,1,1
ARG,2021-07-10,Argentina,120,-0.41,0.11,10,17,3,33,47,-0.54,0.04,0,0,3,13,46,-0.47,0.04,0,0,1,10,8,1,0.01,0,0,0,2,571,-0.31,0.54,59,46,11,95,55,0.04,0.05,0,0,0,11,28,-0.32,0.03,0,0,0,3,36,0.13,0.03,0,0,1,8,16,-0.41,0.02,0,0,1,4,15,0.07,0.01,0,0,0,2,10,-0.64,0.01,0,0,0,2,13,0.63,0.01,0,0,1,4,75,-0.29,0.07,0,0,1,7,8,-0.5,0.01,0,0,0,1
