id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2023-07-01,Argentina,32,0,0.01,5,6,0,4,427,0,0.2,73,143,30,106,19,0,0.01,5,7,1,6,171,0,0.08,33,42,9,15,0,0,0,0,0,0,0,131,0,0.06,36,51,7,44,263,0,0.12,40,133,26,89,103,0,0.05,18,45,8,32,22,0,0.01,3,8,2,5,186,0,0.09,33,75,17,31,120,0,0.06,22,50,7,42,185,0,0.09,20,71,12,44,42,0,0.02,8,19,5,14,114,0,0.05,19,65,14,61,39,0,0.02,3,25,4,10,58,0,0.03,15,25,4,27,89,0,0.04,16,38,2,38,167,0,0.08,28,78,13,65
ARG,2023-07-02,Argentina,17,-0.47,0.01,1,9,1,2,286,-0.33,0.17,42,88,12,49,16,-0.16,0.01,6,2,1,2,85,-0.5,0.05,15,25,4,9,0,100,0,0,0,0,0,119,-0.09,0.07,31,37,8,28,182,-0.31,0.11,33,78,13,63,122,0.18,0.07,16,75,12,44,16,-0.27,0.01,1,7,1,5,166,-0.11,0.1,29,84,8,29,110,-0.08,0.07,19,47,4,36,112,-0.39,0.07,25,36,10,33,39,-0.07,0.02,4,19,1,20,79,-0.31,0.05,22,38,7,33,42,0.08,0.02,10,16,4,14,49,-0.16,0.03,15,23,2,13,78,-0.12,0.05,12,39,3,32,174,0.04,0.1,34,75,24,63
BHS,2023-07-01,Bahamas,1,0,0,0,0,0,0,25,0,0.09,11,6,0,2,6,0,0.02,2,1,2,0,6,0,0.02,1,1,1,2,0,0,0,0,0,0,0,11,0,0.04,4,4,1,1,18,0,0.06,3,7,3,5,117,0,0.4,0,1,1,0,1,0,0,0,1,0,0,9,0,0.03,2,3,1,1,22,0,0.08,8,4,4,4,17,0,0.06,2,9,0,1,2,0,0.01,0,1,0,1,17,0,0.06,4,5,3,4,6,0,0.02,2,2,1,3,5,0,0.02,1,1,0,0,22,0,0.08,3,8,2,4,8,0,0.03,1,2,3,3
BHS,2023-07-02,Bahamas,0,-1,0,0,0,0,0,13,-0.48,0.13,2,5,2,1,6,0,0.06,2,3,0,0,1,-0.83,0.01,0,0,0,0,0,100,0,0,0,0,0,9,-0.18,0.09,1,2,0,2,15,-0.17,0.15,3,4,1,6,5,-0.96,0.05,1,1,0,1,1,0,0.01,0,0,0,0,2,-0.78,0.02,0,0,0,1,16,-0.27,0.16,5,6,3,4,12,-0.29,0.12,6,2,1,3,1,-0.5,0.01,0,1,1,1,7,-0.59,0.07,1,3,0,2,4,-0.33,0.04,0,2,0,2,3,-0.4,0.03,2,0,0,0,6,-0.73,0.06,1,1,0,2,2,-0.75,0.02,0,0,0,1
BRB,2023-07-01,Barbados,1,0,0.01,0,0,0,0,6,0,0.06,1,2,0,0,6,0,0.06,0,4,2,2,9,0,0.09,0,3,2,2,0,0,0,0,0,0,0,13,0,0.13,5,4,1,4,13,0,0.13,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.07,4,1,0,3,13,0,0.13,1,5,4,5,15,0,0.15,6,2,0,2,3,0,0.03,2,0,1,0,11,0,0.11,0,9,1,1,1,0,0.01,0,1,1,0,2,0,0.02,0,0,0,0,2,0,0.02,0,2,0,0,1,0,0.01,0,0,0,0
BRB,2023-07-02,Barbados,0,-1,0,0,0,0,0,5,-0.17,0.05,1,2,0,0,10,0.67,0.1,3,2,2,1,4,-0.56,0.04,1,2,1,0,0,100,0,0,0,0,0,11,-0.15,0.11,3,2,0,1,4,-0.69,0.04,1,1,0,2,1,100,0.01,0,1,0,1,0,100,0,0,0,0,0,7,0,0.07,1,1,1,1,23,0.77,0.24,4,9,5,7,7,-0.53,0.07,2,0,0,0,2,-0.33,0.02,0,0,0,0,5,-0.55,0.05,4,0,1,1,4,3,0.04,1,2,1,1,6,2,0.06,3,0,1,0,5,1.5,0.05,3,2,0,1,3,2,0.03,1,0,0,3
BLZ,2023-07-01,Belice,1,0,0.01,0,0,0,0,5,0,0.07,0,3,0,1,1,0,0.01,0,1,0,0,10,0,0.13,1,0,0,1,0,0,0,0,0,0,0,7,0,0.09,0,3,1,0,2,0,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.04,0,2,0,0,3,0,0.04,0,1,0,0,22,0,0.29,3,5,2,3,0,0,0,0,0,0,0,10,0,0.13,2,6,0,1,0,0,0,0,0,0,0,1,0,0.01,0,0,0,0,4,0,0.05,0,2,0,1,6,0,0.08,4,0,0,0
BLZ,2023-07-02,Belice,1,0,0.02,1,0,0,0,9,0.8,0.14,1,6,1,1,6,5,0.09,2,2,0,0,3,-0.7,0.05,0,1,0,0,0,100,0,0,0,0,0,3,-0.57,0.05,1,2,0,0,3,0.5,0.05,1,0,1,0,2,100,0.03,0,0,0,0,2,100,0.03,1,0,0,0,2,-0.33,0.03,0,1,0,0,4,0.33,0.06,1,0,1,0,21,-0.05,0.32,5,0,0,1,0,100,0,0,0,0,0,3,-0.7,0.05,1,1,0,2,3,100,0.05,0,0,0,2,1,0,0.02,1,0,0,1,1,-0.75,0.02,0,0,0,1,2,-0.67,0.03,0,0,0,0
BOL,2023-07-01,Bolivia,5,0,0.01,0,0,0,0,39,0,0.08,6,5,0,6,4,0,0.01,0,2,0,0,20,0,0.04,0,5,1,1,0,0,0,0,0,0,0,34,0,0.07,7,5,1,5,33,0,0.07,4,15,4,12,24,0,0.05,1,8,0,8,3,0,0.01,0,1,0,1,32,0,0.06,2,9,1,9,36,0,0.07,1,7,1,6,26,0,0.05,1,8,0,1,22,0,0.04,1,10,2,6,13,0,0.03,0,9,1,7,11,0,0.02,0,5,0,1,7,0,0.01,0,4,2,1,46,0,0.09,3,29,2,26,141,0,0.28,17,52,7,40
BOL,2023-07-02,Bolivia,8,0.6,0.02,1,1,1,0,49,0.26,0.11,1,10,1,4,5,0.25,0.01,1,3,1,3,9,-0.55,0.02,3,1,1,4,0,100,0,0,0,0,0,29,-0.15,0.06,4,9,1,3,33,0,0.07,5,8,0,5,16,-0.33,0.04,1,4,1,3,2,-0.33,0,0,2,0,0,38,0.19,0.08,1,6,1,5,23,-0.36,0.05,0,1,1,1,22,-0.15,0.05,4,8,1,2,7,-0.68,0.02,1,2,0,1,15,0.15,0.03,1,2,2,3,4,-0.64,0.01,1,3,0,0,12,0.71,0.03,0,4,0,4,28,-0.39,0.06,8,11,0,15,155,0.1,0.34,8,42,9,55
