id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13,docs-14,docs-delta-docs-percent-14,docs-percent-14
ARG,2021-02-01,Argentina,174,0,12.1,69,0,4.8,47,0,3.3,11,0,0.8,784,0,54.6,90,0,6.3,29,0,2.0,42,0,2.9,56,0,3.9,22,0,1.5,16,0,1.1,23,0,1.6,50,0,3.5,23,0,1.6
ARG,2021-02-02,Argentina,374,114.9,11.9,151,118.8,4.8,86,83.0,2.7,32,190.9,1.0,1843,135.1,58.7,132,46.7,4.2,67,131.0,2.1,80,90.5,2.5,109,94.6,3.5,35,59.1,1.1,36,125.0,1.1,23,0.0,0.7,137,174.0,4.4,36,56.5,1.1
ARG,2021-02-03,Argentina,245,-34.5,9.4,122,-19.2,4.7,92,7.0,3.5,24,-25.0,0.9,1501,-18.6,57.3,138,4.5,5.3,53,-20.9,2.0,62,-22.5,2.4,112,2.8,4.3,44,25.7,1.7,36,0.0,1.4,18,-21.7,0.7,137,0.0,5.2,36,0.0,1.4
ARG,2021-02-04,Argentina,195,-20.4,8.1,112,-8.2,4.6,106,15.2,4.4,28,16.7,1.2,1320,-12.1,54.8,130,-5.8,5.4,55,3.8,2.3,70,12.9,2.9,169,50.9,7.0,32,-27.3,1.3,23,-36.1,1.0,14,-22.2,0.6,136,-0.7,5.6,20,-44.4,0.8
ARG,2021-02-05,Argentina,192,-1.5,8.8,116,3.6,5.3,78,-26.4,3.6,19,-32.1,0.9,1035,-21.6,47.6,100,-23.1,4.6,51,-7.3,2.3,305,335.7,14.0,91,-46.2,4.2,40,25.0,1.8,21,-8.7,1.0,10,-28.6,0.5,91,-33.1,4.2,25,25.0,1.1
ARG,2021-02-06,Argentina,186,-3.1,10.9,99,-14.7,5.8,95,21.8,5.6,17,-10.5,1.0,772,-25.4,45.3,113,13.0,6.6,48,-5.9,2.8,46,-84.9,2.7,69,-24.2,4.1,108,170.0,6.3,29,38.1,1.7,11,10.0,0.6,94,3.3,5.5,16,-36.0,0.9
ARG,2021-02-07,Argentina,151,-18.8,10.9,104,5.1,7.5,76,-20.0,5.5,22,29.4,1.6,603,-21.9,43.6,97,-14.2,7.0,36,-25.0,2.6,36,-21.7,2.6,65,-5.8,4.7,64,-40.7,4.6,29,0.0,2.1,13,18.2,0.9,75,-20.2,5.4,13,-18.8,0.9
ARG,2021-02-08,Argentina,190,25.8,10.3,101,-2.9,5.5,66,-13.2,3.6,26,18.2,1.4,914,51.6,49.5,128,32.0,6.9,37,2.8,2.0,56,55.6,3.0,118,81.5,6.4,47,-26.6,2.5,29,0.0,1.6,13,0.0,0.7,92,22.7,5.0,30,130.8,1.6
ARG,2021-02-09,Argentina,194,2.1,9.6,101,0.0,5.0,86,30.3,4.2,25,-3.8,1.2,1039,13.7,51.3,107,-16.4,5.3,58,56.8,2.9,60,7.1,3.0,178,50.8,8.8,35,-25.5,1.7,24,-17.2,1.2,15,15.4,0.7,88,-4.3,4.3,17,-43.3,0.8
ARG,2021-02-10,Argentina,231,19.1,10.2,151,49.5,6.7,119,38.4,5.3,33,32.0,1.5,1040,0.1,45.9,131,22.4,5.8,40,-31.0,1.8,61,1.7,2.7,269,51.1,11.9,37,5.7,1.6,19,-20.8,0.8,11,-26.7,0.5,106,20.5,4.7,17,0.0,0.8
ARG,2021-02-11,Argentina,223,-3.5,11.9,87,-42.4,4.6,85,-28.6,4.5,17,-48.5,0.9,874,-16.0,46.6,126,-3.8,6.7,32,-20.0,1.7,71,16.4,3.8,161,-40.1,8.6,26,-29.7,1.4,30,57.9,1.6,18,63.6,1.0,103,-2.8,5.5,22,29.4,1.2
ARG,2021-02-12,Argentina,192,-13.9,11.9,74,-14.9,4.6,66,-22.4,4.1,14,-17.6,0.9,777,-11.1,48.1,114,-9.5,7.1,35,9.4,2.2,56,-21.1,3.5,117,-27.3,7.2,28,7.7,1.7,25,-16.7,1.5,22,22.2,1.4,84,-18.4,5.2,10,-54.5,0.6
ARG,2021-02-13,Argentina,173,-9.9,11.8,81,9.5,5.5,58,-12.1,3.9,20,42.9,1.4,708,-8.9,48.2,94,-17.5,6.4,27,-22.9,1.8,34,-39.3,2.3,76,-35.0,5.2,28,0.0,1.9,27,8.0,1.8,17,-22.7,1.2,119,41.7,8.1,8,-20.0,0.5
