id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13,docs-14,docs-delta-docs-percent-14,docs-percent-14
ARG,2021-01-01,Argentina,440,0,16.9,61,0,2.3,89,0,3.4,21,0,0.8,1511,0,58.0,160,0,6.1,82,0,3.2,35,0,1.3,28,0,1.1,26,0,1.0,23,0,0.9,15,0,0.6,91,0,3.5,21,0,0.8
ARG,2021-01-02,Argentina,574,30.5,18.4,117,91.8,3.7,88,-1.1,2.8,26,23.8,0.8,1783,18.0,57.0,199,24.4,6.4,87,6.1,2.8,40,14.3,1.3,32,14.3,1.0,29,11.5,0.9,20,-13.0,0.6,21,40.0,0.7,73,-19.8,2.3,39,85.7,1.2
ARG,2021-01-03,Argentina,701,22.1,20.4,106,-9.4,3.1,85,-3.4,2.5,15,-42.3,0.4,1824,2.3,53.1,247,24.1,7.2,112,28.7,3.3,52,30.0,1.5,38,18.8,1.1,44,51.7,1.3,57,185.0,1.7,19,-9.5,0.6,85,16.4,2.5,48,23.1,1.4
ARG,2021-01-04,Argentina,1185,69.0,22.5,172,62.3,3.3,157,84.7,3.0,30,100.0,0.6,2755,51.0,52.3,354,43.3,6.7,156,39.3,3.0,80,53.8,1.5,62,63.2,1.2,73,65.9,1.4,48,-15.8,0.9,46,142.1,0.9,100,17.6,1.9,50,4.2,0.9
ARG,2021-01-05,Argentina,1662,40.3,24.7,225,30.8,3.3,161,2.5,2.4,34,13.3,0.5,3433,24.6,51.0,373,5.4,5.5,199,27.6,3.0,134,67.5,2.0,82,32.3,1.2,86,17.8,1.3,70,45.8,1.0,40,-13.0,0.6,168,68.0,2.5,65,30.0,1.0
ARG,2021-01-06,Argentina,949,-42.9,19.0,170,-24.4,3.4,137,-14.9,2.7,35,2.9,0.7,2807,-18.2,56.2,256,-31.4,5.1,130,-34.7,2.6,114,-14.9,2.3,73,-11.0,1.5,51,-40.7,1.0,47,-32.9,0.9,37,-7.5,0.7,151,-10.1,3.0,37,-43.1,0.7
ARG,2021-01-07,Argentina,1918,102.1,30.1,187,10.0,2.9,157,14.6,2.5,44,25.7,0.7,2995,6.7,47.0,293,14.5,4.6,251,93.1,3.9,125,9.6,2.0,68,-6.8,1.1,51,0.0,0.8,71,51.1,1.1,18,-51.4,0.3,139,-7.9,2.2,50,35.1,0.8
ARG,2021-01-08,Argentina,1729,-9.9,24.4,228,21.9,3.2,171,8.9,2.4,52,18.2,0.7,3755,25.4,53.0,371,26.6,5.2,225,-10.4,3.2,117,-6.4,1.7,106,55.9,1.5,62,21.6,0.9,77,8.5,1.1,11,-38.9,0.2,136,-2.2,1.9,49,-2.0,0.7
ARG,2021-01-09,Argentina,600,-65.3,18.3,93,-59.2,2.8,96,-43.9,2.9,31,-40.4,0.9,1863,-50.4,56.7,188,-49.3,5.7,103,-54.2,3.1,52,-55.6,1.6,47,-55.7,1.4,45,-27.4,1.4,32,-58.4,1.0,20,81.8,0.6,86,-36.8,2.6,30,-38.8,0.9
ARG,2021-01-10,Argentina,440,-26.7,16.1,113,21.5,4.1,93,-3.1,3.4,24,-22.6,0.9,1535,-17.6,56.1,178,-5.3,6.5,72,-30.1,2.6,44,-15.4,1.6,43,-8.5,1.6,25,-44.4,0.9,30,-6.2,1.1,20,0.0,0.7,89,3.5,3.3,29,-3.3,1.1
ARG,2021-01-11,Argentina,571,29.8,13.4,123,8.8,2.9,103,10.8,2.4,25,4.2,0.6,2700,75.9,63.6,180,1.1,4.2,88,22.2,2.1,111,152.3,2.6,61,41.9,1.4,34,36.0,0.8,41,36.7,1.0,23,15.0,0.5,154,73.0,3.6,34,17.2,0.8
BHS,2021-01-01,Bahamas,24,0,6.7,95,0,26.6,13,0,3.6,3,0,0.8,82,0,23.0,24,0,6.7,11,0,3.1,9,0,2.5,41,0,11.5,14,0,3.9,2,0,0.6,5,0,1.4,29,0,8.1,5,0,1.4
BHS,2021-01-02,Bahamas,19,-20.8,5.7,82,-13.7,24.4,21,61.5,6.2,4,33.3,1.2,73,-11.0,21.7,27,12.5,8.0,6,-45.5,1.8,12,33.3,3.6,48,17.1,14.3,15,7.1,4.5,0,-100.0,0,10,100.0,3.0,15,-48.3,4.5,4,-20.0,1.2
BHS,2021-01-03,Bahamas,31,63.2,6.3,181,120.7,36.9,25,19.0,5.1,11,175.0,2.2,73,0.0,14.9,25,-7.4,5.1,17,183.3,3.5,12,0.0,2.4,59,22.9,12.0,13,-13.3,2.6,1,100,0.2,4,-60.0,0.8,30,100.0,6.1,9,125.0,1.8
BHS,2021-01-04,Bahamas,54,74.2,10.7,117,-35.4,23.1,25,0.0,4.9,3,-72.7,0.6,95,30.1,18.7,21,-16.0,4.1,15,-11.8,3.0,19,58.3,3.7,98,66.1,19.3,22,69.2,4.3,1,0.0,0.2,8,100.0,1.6,19,-36.7,3.7,10,11.1,2.0
BHS,2021-01-05,Bahamas,39,-27.8,6.4,138,17.9,22.5,39,56.0,6.4,13,333.3,2.1,101,6.3,16.5,39,85.7,6.4,26,73.3,4.2,24,26.3,3.9,114,16.3,18.6,22,0.0,3.6,3,200.0,0.5,6,-25.0,1.0,34,78.9,5.5,15,50.0,2.4
BHS,2021-01-06,Bahamas,49,25.6,8.3,86,-37.7,14.6,34,-12.8,5.8,11,-15.4,1.9,112,10.9,19.0,46,17.9,7.8,18,-30.8,3.1,31,29.2,5.3,105,-7.9,17.8,28,27.3,4.8,5,66.7,0.8,7,16.7,1.2,34,0.0,5.8,23,53.3,3.9
BHS,2021-01-07,Bahamas,47,-4.1,10.6,95,10.5,21.5,20,-41.2,4.5,7,-36.4,1.6,65,-42.0,14.7,25,-45.7,5.7,14,-22.2,3.2,11,-64.5,2.5,81,-22.9,18.3,16,-42.9,3.6,4,-20.0,0.9,4,-42.9,0.9,32,-5.9,7.2,21,-8.7,4.8
BHS,2021-01-08,Bahamas,41,-12.8,8.5,90,-5.3,18.6,24,20.0,5.0,3,-57.1,0.6,116,78.5,24.0,34,36.0,7.0,19,35.7,3.9,26,136.4,5.4,64,-21.0,13.2,10,-37.5,2.1,3,-25.0,0.6,12,200.0,2.5,34,6.2,7.0,8,-61.9,1.7
BHS,2021-01-09,Bahamas,18,-56.1,5.6,92,2.2,28.4,28,16.7,8.6,3,0.0,0.9,53,-54.3,16.4,26,-23.5,8.0,10,-47.4,3.1,11,-57.7,3.4,46,-28.1,14.2,8,-20.0,2.5,0,-100.0,0,6,-50.0,1.9,17,-50.0,5.2,6,-25.0,1.9
BHS,2021-01-10,Bahamas,27,50.0,8.1,89,-3.3,26.8,21,-25.0,6.3,4,33.3,1.2,44,-17.0,13.3,16,-38.5,4.8,11,10.0,3.3,22,100.0,6.6,59,28.3,17.8,10,25.0,3.0,5,100,1.5,5,-16.7,1.5,14,-17.6,4.2,5,-16.7,1.5
BHS,2021-01-11,Bahamas,27,0.0,6.9,114,28.1,29.2,27,28.6,6.9,6,50.0,1.5,55,25.0,14.1,21,31.2,5.4,7,-36.4,1.8,7,-68.2,1.8,78,32.2,19.9,13,30.0,3.3,1,-80.0,0.3,7,40.0,1.8,24,71.4,6.1,4,-20.0,1.0
BRB,2021-01-01,Barbados,182,0,35.5,81,0,15.8,21,0,4.1,2,0,0.4,80,0,15.6,25,0,4.9,29,0,5.7,7,0,1.4,29,0,5.7,16,0,3.1,3,0,0.6,5,0,1.0,29,0,5.7,4,0,0.8
BRB,2021-01-02,Barbados,529,190.7,41.3,110,35.8,8.6,37,76.2,2.9,5,150.0,0.4,128,60.0,10.0,142,468.0,11.1,50,72.4,3.9,43,514.3,3.4,48,65.5,3.7,49,206.2,3.8,5,66.7,0.4,17,240.0,1.3,89,206.9,6.9,29,625.0,2.3
BRB,2021-01-03,Barbados,123,-76.7,24.5,125,13.6,24.9,20,-45.9,4.0,4,-20.0,0.8,75,-41.4,14.9,26,-81.7,5.2,17,-66.0,3.4,13,-69.8,2.6,31,-35.4,6.2,24,-51.0,4.8,2,-60.0,0.4,3,-82.4,0.6,24,-73.0,4.8,15,-48.3,3.0
