id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13
ARG,2020-04-01,Argentina,92,0,4.3,119,0,5.6,307,0,14.3,323,0,15.1,625,0,29.2,204,0,9.5,84,0,3.9,41,0,1.9,65,0,3.0,30,0,1.4,26,0,1.2,216,0,10.1,10,0,0.5
ARG,2020-04-02,Argentina,95,3.3,4.1,113,-5.0,4.9,254,-17.3,11.0,254,-21.4,11.0,900,44.0,39.0,194,-4.9,8.4,70,-16.7,3.0,32,-22.0,1.4,63,-3.1,2.7,40,33.3,1.7,19,-26.9,0.8,251,16.2,10.9,20,100.0,0.9
ARG,2020-04-03,Argentina,61,-35.8,2.8,86,-23.9,4.0,248,-2.4,11.4,350,37.8,16.1,682,-24.2,31.4,188,-3.1,8.7,44,-37.1,2.0,20,-37.5,0.9,139,120.6,6.4,132,230.0,6.1,6,-68.4,0.3,200,-20.3,9.2,16,-20.0,0.7
ARG,2020-04-04,Argentina,73,19.7,2.9,106,23.3,4.2,279,12.5,11.1,384,9.7,15.3,738,8.2,29.4,258,37.2,10.3,64,45.5,2.6,38,90.0,1.5,172,23.7,6.9,137,3.8,5.5,21,250.0,0.8,213,6.5,8.5,23,43.8,0.9
ARG,2020-04-05,Argentina,50,-31.5,4.3,49,-53.8,4.2,129,-53.8,11.1,137,-64.3,11.8,377,-48.9,32.6,121,-53.1,10.5,35,-45.3,3.0,16,-57.9,1.4,55,-68.0,4.8,24,-82.5,2.1,17,-19.0,1.5,134,-37.1,11.6,13,-43.5,1.1
ARG,2020-04-06,Argentina,80,60.0,4.0,195,298.0,9.8,207,60.5,10.4,276,101.5,13.8,601,59.4,30.1,165,36.4,8.3,79,125.7,4.0,25,56.2,1.3,84,52.7,4.2,47,95.8,2.4,28,64.7,1.4,191,42.5,9.6,19,46.2,1.0
ARG,2020-04-07,Argentina,68,-15.0,2.6,185,-5.1,7.1,284,37.2,11.0,281,1.8,10.9,1025,70.5,39.6,231,40.0,8.9,100,26.6,3.9,45,80.0,1.7,92,9.5,3.6,45,-4.3,1.7,20,-28.6,0.8,198,3.7,7.6,15,-21.1,0.6
ARG,2020-04-08,Argentina,48,-29.4,2.7,110,-40.5,6.3,176,-38.0,10.0,208,-26.0,11.8,702,-31.5,39.9,145,-37.2,8.2,61,-39.0,3.5,30,-33.3,1.7,63,-31.5,3.6,30,-33.3,1.7,18,-10.0,1.0,158,-20.2,9.0,9,-40.0,0.5
ARG,2020-04-09,Argentina,86,79.2,3.9,117,6.4,5.3,290,64.8,13.2,305,46.6,13.9,701,-0.1,31.9,227,56.6,10.3,61,0.0,2.8,39,30.0,1.8,111,76.2,5.1,43,43.3,2.0,15,-16.7,0.7,189,19.6,8.6,11,22.2,0.5
ARG,2020-04-10,Argentina,53,-38.4,3.7,86,-26.5,6.0,146,-49.7,10.2,185,-39.3,12.9,472,-32.7,33.0,148,-34.8,10.4,54,-11.5,3.8,22,-43.6,1.5,63,-43.2,4.4,42,-2.3,2.9,17,13.3,1.2,133,-29.6,9.3,8,-27.3,0.6
ARG,2020-04-11,Argentina,72,35.8,4.3,82,-4.7,4.9,180,23.3,10.8,237,28.1,14.2,581,23.1,34.8,166,12.2,9.9,49,-9.3,2.9,34,54.5,2.0,83,31.7,5.0,25,-40.5,1.5,15,-11.8,0.9,129,-3.0,7.7,18,125.0,1.1
ARG,2020-04-12,Argentina,33,-54.2,2.3,62,-24.4,4.4,178,-1.1,12.7,203,-14.3,14.4,520,-10.5,37.0,115,-30.7,8.2,39,-20.4,2.8,15,-55.9,1.1,62,-25.3,4.4,34,36.0,2.4,7,-53.3,0.5,125,-3.1,8.9,14,-22.2,1.0
ARG,2020-04-13,Argentina,53,60.6,2.4,124,100.0,5.6,211,18.5,9.5,324,59.6,14.5,901,73.3,40.4,214,86.1,9.6,73,87.2,3.3,28,86.7,1.3,65,4.8,2.9,25,-26.5,1.1,19,171.4,0.9,181,44.8,8.1,10,-28.6,0.4
ARG,2020-04-14,Argentina,46,-13.2,2.8,68,-45.2,4.2,161,-23.7,9.9,260,-19.8,16.0,614,-31.9,37.7,145,-32.2,8.9,85,16.4,5.2,15,-46.4,0.9,74,13.8,4.5,16,-36.0,1.0,10,-47.4,0.6,123,-32.0,7.6,12,20.0,0.7
ARG,2020-04-15,Argentina,24,-47.8,2.9,24,-64.7,2.9,95,-41.0,11.6,131,-49.6,16.0,334,-45.6,40.7,60,-58.6,7.3,20,-76.5,2.4,8,-46.7,1.0,32,-56.8,3.9,13,-18.8,1.6,8,-20.0,1.0,60,-51.2,7.3,11,-8.3,1.3
ARG,2020-04-16,Argentina,75,212.5,2.3,130,441.7,4.0,277,191.6,8.6,404,208.4,12.6,1479,342.8,46.0,273,355.0,8.5,132,560.0,4.1,54,575.0,1.7,78,143.8,2.4,28,115.4,0.9,25,212.5,0.8,243,305.0,7.6,18,63.6,0.6
ARG,2020-04-17,Argentina,52,-30.7,3.1,79,-39.2,4.7,138,-50.2,8.1,231,-42.8,13.6,684,-53.8,40.4,177,-35.2,10.4,59,-55.3,3.5,27,-50.0,1.6,53,-32.1,3.1,42,50.0,2.5,8,-68.0,0.5,135,-44.4,8.0,9,-50.0,0.5
ARG,2020-04-18,Argentina,76,46.2,2.9,135,70.9,5.1,235,70.3,8.8,343,48.5,12.9,1001,46.3,37.6,259,46.3,9.7,118,100.0,4.4,37,37.0,1.4,86,62.3,3.2,72,71.4,2.7,15,87.5,0.6,276,104.4,10.4,8,-11.1,0.3
ARG,2020-04-19,Argentina,58,-23.7,3.3,79,-41.5,4.5,161,-31.5,9.1,218,-36.4,12.3,667,-33.4,37.7,202,-22.0,11.4,48,-59.3,2.7,23,-37.8,1.3,59,-31.4,3.3,43,-40.3,2.4,25,66.7,1.4,173,-37.3,9.8,14,75.0,0.8
ARG,2020-04-20,Argentina,70,20.7,3.0,101,27.8,4.3,280,73.9,12.0,331,51.8,14.2,858,28.6,36.8,260,28.7,11.2,70,45.8,3.0,29,26.1,1.2,63,6.8,2.7,39,-9.3,1.7,15,-40.0,0.6,203,17.3,8.7,10,-28.6,0.4
ARG,2020-04-21,Argentina,55,-21.4,3.4,79,-21.8,4.9,157,-43.9,9.8,225,-32.0,14.1,558,-35.0,34.9,150,-42.3,9.4,59,-15.7,3.7,22,-24.1,1.4,77,22.2,4.8,60,53.8,3.7,12,-20.0,0.7,139,-31.5,8.7,8,-20.0,0.5
ARG,2020-04-22,Argentina,108,96.4,3.1,153,93.7,4.4,381,142.7,11.0,470,108.9,13.6,1227,119.9,35.5,300,100.0,8.7,104,76.3,3.0,71,222.7,2.1,112,45.5,3.2,157,161.7,4.5,48,300.0,1.4,310,123.0,9.0,16,100.0,0.5
ARG,2020-04-23,Argentina,82,-24.1,3.8,99,-35.3,4.6,256,-32.8,11.9,340,-27.7,15.8,658,-46.4,30.6,209,-30.3,9.7,85,-18.3,4.0,53,-25.4,2.5,69,-38.4,3.2,52,-66.9,2.4,19,-60.4,0.9,209,-32.6,9.7,20,25.0,0.9
ARG,2020-04-24,Argentina,40,-51.2,2.7,82,-17.2,5.5,162,-36.7,10.9,207,-39.1,14.0,449,-31.8,30.3,149,-28.7,10.1,63,-25.9,4.3,26,-50.9,1.8,80,15.9,5.4,86,65.4,5.8,15,-21.1,1.0,113,-45.9,7.6,9,-55.0,0.6
ARG,2020-04-25,Argentina,47,17.5,3.8,66,-19.5,5.3,136,-16.0,11.0,246,18.8,19.9,306,-31.8,24.7,119,-20.1,9.6,52,-17.5,4.2,23,-11.5,1.9,50,-37.5,4.0,71,-17.4,5.7,18,20.0,1.5,92,-18.6,7.4,12,33.3,1.0
