id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14
BHS,2021-09-01,Bahamas,20,0,0.03,0,0,2,15,71,0,0.11,21,22,4,50,20,0,0.03,0,0,2,10,6,0,0.01,0,0,0,2,256,0,0.41,65,77,27,147,22,0,0.04,0,0,3,14,11,0,0.02,0,0,0,6,33,0,0.05,0,0,0,20,90,0,0.14,33,33,8,57,18,0,0.03,0,0,2,10,4,0,0.01,0,0,0,4,12,0,0.02,0,0,0,10,48,0,0.08,10,14,5,22,10,0,0.02,0,0,1,4
BHS,2021-09-02,Bahamas,20,0,0.03,0,0,3,17,70,-0.01,0.12,21,19,11,55,16,-0.2,0.03,0,0,2,11,4,-0.33,0.01,0,0,0,3,227,-0.11,0.38,69,59,42,146,26,0.18,0.04,0,0,4,13,18,0.64,0.03,0,0,2,13,48,0.45,0.08,0,0,2,36,94,0.04,0.16,28,31,10,64,21,0.17,0.04,0,0,1,17,2,-0.5,0,0,0,0,2,12,0,0.02,0,0,1,9,19,-0.6,0.03,0,0,4,9,14,0.4,0.02,0,0,2,11
BHS,2021-09-03,Bahamas,30,0.5,0.06,0,0,8,20,63,-0.1,0.13,23,14,8,46,12,-0.25,0.03,0,0,0,10,2,-0.5,0,0,0,0,1,142,-0.37,0.3,42,22,22,99,16,-0.38,0.03,0,0,3,12,14,-0.22,0.03,0,0,0,9,44,-0.08,0.09,0,0,2,35,82,-0.13,0.17,30,18,8,55,19,-0.1,0.04,0,0,2,13,4,1,0.01,0,0,0,2,6,-0.5,0.01,0,0,0,3,29,0.53,0.06,0,0,3,16,7,-0.5,0.01,0,0,1,1
BHS,2021-09-04,Bahamas,12,-0.6,0.03,0,0,5,7,74,0.17,0.18,22,26,9,57,13,0.08,0.03,0,0,2,8,3,0.5,0.01,0,0,0,2,126,-0.11,0.31,35,20,20,88,21,0.31,0.05,0,0,3,8,16,0.14,0.04,0,0,3,11,29,-0.34,0.07,0,0,3,23,48,-0.41,0.12,17,10,5,35,16,-0.16,0.04,0,0,2,11,1,-0.75,0,0,0,0,1,17,1.83,0.04,0,0,3,13,23,-0.21,0.06,0,0,6,17,6,-0.14,0.01,0,0,0,4
BHS,2021-09-05,Bahamas,19,0.58,0.05,0,0,6,10,53,-0.28,0.13,24,15,7,41,10,-0.23,0.02,0,0,2,7,3,0,0.01,0,0,0,3,156,0.24,0.38,35,39,19,106,15,-0.29,0.04,0,0,2,9,7,-0.56,0.02,0,0,1,7,31,0.07,0.08,0,0,1,26,69,0.44,0.17,23,21,5,51,12,-0.25,0.03,0,0,1,9,2,1,0,0,0,0,0,8,-0.53,0.02,0,0,1,5,17,-0.26,0.04,0,0,3,12,8,0.33,0.02,0,0,1,5
BHS,2021-09-06,Bahamas,25,0.32,0.05,0,0,3,15,57,0.08,0.12,19,18,7,41,22,1.2,0.04,0,0,2,17,6,1,0.01,0,0,1,4,143,-0.08,0.29,39,36,26,96,24,0.6,0.05,0,0,5,18,6,-0.14,0.01,0,0,0,4,43,0.39,0.09,0,0,3,34,125,0.81,0.25,54,24,10,83,10,-0.17,0.02,0,0,1,9,2,0,0,0,0,0,2,8,0,0.02,0,0,0,7,13,-0.24,0.03,0,0,2,6,7,-0.12,0.01,0,0,0,2
BHS,2021-09-07,Bahamas,30,0.2,0.05,0,0,5,24,41,-0.28,0.07,16,14,8,27,26,0.18,0.05,0,0,2,24,17,1.83,0.03,0,0,3,9,179,0.25,0.32,52,53,36,116,29,0.21,0.05,13,9,5,17,18,2,0.03,0,0,5,10,51,0.19,0.09,0,0,1,35,109,-0.13,0.2,38,22,13,74,13,0.3,0.02,0,0,2,9,3,0.5,0.01,0,0,0,2,8,0,0.01,0,0,2,6,16,0.23,0.03,0,0,3,11,13,0.86,0.02,0,0,0,8
BHS,2021-09-08,Bahamas,18,-0.4,0.03,0,0,2,9,83,1.02,0.13,43,11,12,59,29,0.12,0.05,0,0,4,18,5,-0.71,0.01,0,0,0,3,194,0.08,0.31,48,49,23,133,25,-0.14,0.04,0,0,5,14,23,0.28,0.04,0,0,0,13,55,0.08,0.09,13,9,5,43,120,0.1,0.19,43,26,10,77,18,0.38,0.03,0,0,0,14,4,0.33,0.01,0,0,0,3,16,1,0.03,0,0,0,10,31,0.94,0.05,0,0,2,18,9,-0.31,0.01,0,0,2,4
BHS,2021-09-09,Bahamas,25,0.39,0.04,0,0,2,18,60,-0.28,0.1,23,12,6,40,18,-0.38,0.03,0,0,4,9,9,0.8,0.01,0,0,4,6,173,-0.11,0.29,54,39,21,115,51,1.04,0.08,18,17,5,29,19,-0.17,0.03,0,0,4,11,69,0.25,0.11,0,0,3,55,120,0,0.2,34,23,12,86,14,-0.22,0.02,0,0,1,10,4,0,0.01,0,0,0,3,6,-0.62,0.01,0,0,0,5,23,-0.26,0.04,0,0,1,13,10,0.11,0.02,0,0,0,5
BHS,2021-09-10,Bahamas,43,0.72,0.07,11,11,2,32,61,0.02,0.11,28,8,10,55,26,0.44,0.05,0,0,5,15,5,-0.44,0.01,0,0,0,3,210,0.21,0.37,69,52,44,148,25,-0.51,0.04,0,0,6,13,11,-0.42,0.02,0,0,2,7,58,-0.16,0.1,0,0,3,32,93,-0.22,0.16,33,21,19,65,19,0.36,0.03,0,0,1,11,2,-0.5,0,0,0,1,0,5,-0.17,0.01,0,0,0,4,13,-0.43,0.02,0,0,0,8,4,-0.6,0.01,0,0,1,1
