id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2023-06-01,Argentina,41,0,0.01,7,12,2,3,700,0,0.2,100,193,16,107,44,0,0.01,11,10,4,8,261,0,0.08,32,66,11,10,0,0,0,0,0,0,0,282,0,0.08,80,86,15,80,392,0,0.11,82,149,26,103,183,0,0.05,33,72,14,63,25,0,0.01,8,4,0,6,222,0,0.06,29,94,10,40,226,0,0.07,41,60,8,69,270,0,0.08,47,76,8,52,89,0,0.03,20,30,4,37,177,0,0.05,26,79,20,86,25,0,0.01,3,7,1,5,122,0,0.04,29,38,4,36,112,0,0.03,18,45,11,51,304,0,0.09,44,122,26,123
ARG,2023-06-02,Argentina,17,-0.59,0,3,6,1,5,640,-0.09,0.19,93,169,14,88,38,-0.14,0.01,4,18,1,6,192,-0.26,0.06,25,37,5,16,0,100,0,0,0,0,0,316,0.12,0.09,93,96,18,85,412,0.05,0.12,64,156,29,121,194,0.06,0.06,26,57,17,56,33,0.32,0.01,3,9,1,3,221,0,0.06,21,90,18,53,239,0.06,0.07,44,99,13,87,309,0.14,0.09,28,92,12,77,70,-0.21,0.02,15,16,7,21,204,0.15,0.06,52,81,16,90,32,0.28,0.01,5,19,1,5,82,-0.33,0.02,13,30,4,26,98,-0.12,0.03,19,39,9,50,325,0.07,0.09,62,131,32,133
ARG,2023-06-03,Argentina,21,0.24,0.01,2,7,1,3,335,-0.48,0.15,66,111,20,54,25,-0.34,0.01,6,4,0,5,158,-0.18,0.07,21,46,6,21,0,100,0,0,0,0,0,196,-0.38,0.09,51,67,11,65,260,-0.37,0.12,59,116,20,85,96,-0.51,0.04,14,51,18,34,29,-0.12,0.01,5,5,0,1,128,-0.42,0.06,21,56,9,39,186,-0.22,0.08,35,64,15,79,174,-0.44,0.08,31,54,7,32,54,-0.23,0.02,11,16,3,26,121,-0.41,0.05,40,57,13,64,26,-0.19,0.01,7,13,2,3,73,-0.11,0.03,20,31,9,32,97,-0.01,0.04,15,45,7,52,271,-0.17,0.12,57,120,17,113
ARG,2023-06-04,Argentina,20,-0.05,0.01,2,9,1,5,209,-0.38,0.12,36,82,14,30,29,0.16,0.02,8,12,2,6,106,-0.33,0.06,16,24,4,13,0,100,0,0,0,0,0,133,-0.32,0.08,48,40,9,36,204,-0.22,0.12,50,75,16,76,91,-0.05,0.05,22,35,8,37,18,-0.38,0.01,3,4,1,2,143,0.12,0.08,22,44,8,40,142,-0.24,0.08,25,52,6,41,140,-0.2,0.08,25,46,9,35,48,-0.11,0.03,8,26,2,20,98,-0.19,0.06,25,47,11,44,10,-0.62,0.01,2,4,0,3,72,-0.01,0.04,17,35,6,32,79,-0.19,0.04,16,32,6,40,215,-0.21,0.12,42,91,20,87
ARG,2023-06-05,Argentina,30,0.5,0.01,4,9,3,5,509,1.44,0.14,76,117,15,70,63,1.17,0.02,19,16,3,8,732,5.91,0.2,87,124,8,28,0,100,0,0,0,0,0,232,0.74,0.06,47,63,14,49,352,0.73,0.1,53,123,18,77,149,0.64,0.04,11,52,10,44,25,0.39,0.01,7,6,1,8,223,0.56,0.06,25,58,3,49,223,0.57,0.06,36,70,20,73,232,0.66,0.06,29,63,8,46,86,0.79,0.02,17,30,3,32,157,0.6,0.04,38,79,12,88,10,0,0,1,3,1,2,97,0.35,0.03,22,30,9,23,148,0.87,0.04,20,51,8,62,331,0.54,0.09,57,133,22,149
ARG,2023-06-06,Argentina,18,-0.4,0.01,5,8,0,2,576,0.13,0.18,85,132,10,92,32,-0.49,0.01,4,10,0,7,308,-0.58,0.1,34,51,4,21,0,100,0,0,0,0,0,209,-0.1,0.07,56,68,18,68,371,0.05,0.12,51,132,17,89,178,0.19,0.06,16,56,11,49,33,0.32,0.01,4,7,0,3,186,-0.17,0.06,22,59,9,41,229,0.03,0.07,34,65,15,73,228,-0.02,0.07,31,59,9,56,89,0.03,0.03,13,37,4,33,154,-0.02,0.05,50,57,22,82,20,1,0.01,2,6,2,3,92,-0.05,0.03,24,36,6,37,171,0.16,0.05,21,65,19,77,273,-0.18,0.09,36,105,13,94
ARG,2023-06-07,Argentina,24,0.33,0.01,3,6,2,3,598,0.04,0.19,91,136,12,76,45,0.41,0.01,9,17,1,10,302,-0.02,0.1,29,71,11,20,0,100,0,0,0,0,0,240,0.15,0.08,67,85,21,56,411,0.11,0.13,62,159,19,77,204,0.15,0.06,13,70,13,61,25,-0.24,0.01,1,5,0,1,209,0.12,0.07,34,83,9,52,221,-0.03,0.07,39,72,12,62,190,-0.17,0.06,23,49,8,33,62,-0.3,0.02,14,13,2,16,151,-0.02,0.05,31,59,10,70,22,0.1,0.01,3,9,2,3,84,-0.09,0.03,22,24,9,29,95,-0.44,0.03,15,40,7,34,287,0.05,0.09,37,111,20,94
ARG,2023-06-08,Argentina,19,-0.21,0.01,4,5,2,6,522,-0.13,0.2,69,127,19,74,27,-0.4,0.01,7,8,2,3,222,-0.26,0.08,9,53,5,15,0,100,0,0,0,0,0,191,-0.2,0.07,47,55,11,49,316,-0.23,0.12,53,130,19,65,188,-0.08,0.07,23,85,7,41,18,-0.28,0.01,3,1,1,4,195,-0.07,0.07,34,65,5,33,200,-0.1,0.08,29,69,5,57,183,-0.04,0.07,26,50,5,42,74,0.19,0.03,10,24,4,21,118,-0.22,0.05,24,53,9,48,26,0.18,0.01,4,6,2,6,55,-0.35,0.02,16,24,3,19,83,-0.13,0.03,10,33,1,40,178,-0.38,0.07,26,73,14,75
BHS,2023-06-01,Bahamas,2,0,0.01,0,0,0,0,29,0,0.13,2,8,1,2,15,0,0.07,4,1,0,3,6,0,0.03,2,2,2,1,0,0,0,0,0,0,0,18,0,0.08,0,6,0,2,21,0,0.09,3,4,1,2,11,0,0.05,0,3,3,2,2,0,0.01,1,1,1,0,11,0,0.05,2,3,1,2,26,0,0.11,3,9,1,8,29,0,0.13,6,7,3,6,2,0,0.01,0,1,0,2,30,0,0.13,5,4,1,7,1,0,0,0,0,0,1,2,0,0.01,0,2,0,1,15,0,0.07,2,5,2,4,8,0,0.04,0,2,1,2
BHS,2023-06-02,Bahamas,3,0.5,0.01,1,1,0,0,22,-0.24,0.1,5,3,5,5,8,-0.47,0.04,1,3,0,0,5,-0.17,0.02,1,0,0,0,0,100,0,0,0,0,0,22,0.22,0.1,4,13,3,4,33,0.57,0.15,7,5,2,3,3,-0.73,0.01,0,2,0,1,0,-1,0,0,0,0,0,12,0.09,0.06,3,3,2,3,22,-0.15,0.1,3,13,3,8,19,-0.34,0.09,4,7,0,4,7,2.5,0.03,0,5,0,1,24,-0.2,0.11,6,7,4,4,2,1,0.01,1,1,0,2,7,2.5,0.03,1,4,2,0,14,-0.07,0.07,4,6,3,2,12,0.5,0.06,0,7,0,5
